sample_role,scene,object_hypothesis_id,sar_gt_id,sar_frame,vehicle_research_eligibility,azimuth_prior_contains_gt,vehicle_size_shell_contains_gt,range_shell_contains_gt,local_visualization_path,repo_sample_visualization_path
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,294,392,weak_vehicle_layer,true,true,true,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0012_sar000392_294_20260702_190435.png,
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,295,392,weak_vehicle_layer,true,true,false,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0010_sar000392_295_20260702_190435.png,
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,297,393,weak_vehicle_layer,true,true,false,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0010_sar000393_297_20260702_190435.png,
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,298,393,weak_vehicle_layer,true,true,true,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0012_sar000393_298_20260702_190435.png,
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,300,394,weak_vehicle_layer,true,true,false,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0010_sar000394_300_20260702_190435.png,
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,301,394,weak_vehicle_layer,true,true,true,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0012_sar000394_301_20260702_190435.png,
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,303,429,weak_vehicle_layer,true,true,true,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0012_sar000429_303_20260702_190435.png,
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,305,438,weak_vehicle_layer,true,true,true,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0012_sar000438_305_20260702_190435.png,
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0014,307,442,weak_vehicle_layer,true,true,true,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0014_sar000442_307_20260702_190435.png,
GM_RM019 后验样本,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0001,309,0,review_only_vehicle,true,true,false,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm019_0001_sar000000_309_20260702_190435.png,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\samples\gt_correspondence_mechanism_visualizations\gt_mechanism_20260702_190435\oty2_gt_mechanism_gmrm019_gm_rm019_0001_sar000000_309_20260702_190435.png
,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0001,311,4,review_only_vehicle,true,true,false,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm019_0001_sar000004_311_20260702_190435.png,
,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0001,314,8,review_only_vehicle,true,true,false,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm019_0001_sar000008_314_20260702_190435.png,
,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0009,315,27,blocked_vehicle_or_noise,,true,false,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm019_0009_sar000027_315_20260702_190435.png,
,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0005,316,27,weak_vehicle_layer,true,true,true,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm019_0005_sar000027_316_20260702_190435.png,
,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0005,317,31,weak_vehicle_layer,true,true,false,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm019_0005_sar000031_317_20260702_190435.png,
