scene,object_hypothesis_id,sar_gt_id,sar_frame,gt_azimuth_deg,azimuth_prior_center_deg,azimuth_prior_start_deg,azimuth_prior_end_deg,azimuth_prior_width_deg,azimuth_error_to_center_deg,azimuth_prior_contains_gt,azimuth_failure_context,size_shell_mode,gt_long_axis_px,gt_short_axis_px,gt_axis_aspect,vehicle_size_shell_contains_gt,base_vehicle_size_shell_contains_gt,size_shell_angular_width_at_gt_radius_deg,size_shell_to_azimuth_width_ratio,size_shell_compression_effect,shape_range_shell_mode,shape_range_shell_radius_min_px,shape_range_shell_radius_max_px,shape_range_shell_width_px,range_shell_contains_gt,range_shell_note
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0009,315,27,44.761,,,,,,,,relaxed_state_size_shell,179.453,75.617,2.3732,true,true,67.275,,posthoc_size_shell_not_narrow_or_no_azimuth_sector,medium_optical_area_posthoc_bin,366.393,455.063,88.670,false,posthoc optical-shape bin only; not runtime rule
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0005,316,27,-35.451,-0.256,-45.398,34.599,79.997,-35.195,true,,relaxed_state_size_shell,182.277,72.100,2.5281,true,true,81.865,1.0233,posthoc_size_shell_not_narrow_or_no_azimuth_sector,large_optical_area_posthoc_bin,152.418,402.483,250.066,true,posthoc optical-shape bin only; not runtime rule
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0005,317,31,-33.206,-0.256,-45.398,34.599,79.997,-32.950,true,,relaxed_state_size_shell,163.923,68.652,2.3877,true,true,84.115,1.0515,posthoc_size_shell_not_narrow_or_no_azimuth_sector,large_optical_area_posthoc_bin,152.418,402.483,250.066,false,posthoc optical-shape bin only; not runtime rule
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0005,319,77,42.881,-0.256,-45.398,34.599,79.997,43.137,false,edge=true;partial=true;duplicate_handoff=true;ambiguity=ambiguous_or_review_required,relaxed_state_size_shell,169.290,74.106,2.2844,true,true,77.155,0.9645,posthoc_size_shell_not_narrow_or_no_azimuth_sector,large_optical_area_posthoc_bin,152.418,402.483,250.066,true,posthoc optical-shape bin only; not runtime rule
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0005,320,81,46.900,-0.256,-45.398,34.599,79.997,47.156,false,edge=true;partial=true;duplicate_handoff=true;ambiguity=ambiguous_or_review_required,relaxed_state_size_shell,152.545,73.469,2.0763,true,true,76.596,0.9575,posthoc_size_shell_not_narrow_or_no_azimuth_sector,large_optical_area_posthoc_bin,152.418,402.483,250.066,true,posthoc optical-shape bin only; not runtime rule
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0080,323,212,-47.679,-10.799,-45.414,34.573,79.987,-36.880,false,edge=true;partial=true;duplicate_handoff=true;ambiguity=ambiguous_or_review_required,relaxed_state_size_shell,158.113,82.244,1.9225,true,true,71.066,0.8885,posthoc_size_shell_not_narrow_or_no_azimuth_sector,large_optical_area_posthoc_bin,152.418,402.483,250.066,true,posthoc optical-shape bin only; not runtime rule
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0080,324,238,-19.350,-10.799,-45.414,34.573,79.987,-8.551,true,,relaxed_state_size_shell,138.120,71.987,1.9187,true,true,91.996,1.1501,posthoc_size_shell_not_narrow_or_no_azimuth_sector,large_optical_area_posthoc_bin,152.418,402.483,250.066,false,posthoc optical-shape bin only; not runtime rule
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0080,325,269,28.425,-10.799,-45.414,34.573,79.987,39.224,true,,relaxed_state_size_shell,147.690,69.971,2.1107,true,true,88.809,1.1103,posthoc_size_shell_not_narrow_or_no_azimuth_sector,large_optical_area_posthoc_bin,152.418,402.483,250.066,false,posthoc optical-shape bin only; not runtime rule
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0080,326,273,31.670,-10.799,-45.414,34.573,79.987,42.469,true,,relaxed_state_size_shell,147.580,69.421,2.1259,true,true,87.996,1.1001,posthoc_size_shell_not_narrow_or_no_azimuth_sector,large_optical_area_posthoc_bin,152.418,402.483,250.066,false,posthoc optical-shape bin only; not runtime rule
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0080,327,288,40.860,-10.799,-45.414,34.573,79.987,51.659,false,edge=true;partial=true;duplicate_handoff=true;ambiguity=ambiguous_or_review_required,relaxed_state_size_shell,147.480,72.000,2.0483,true,true,80.697,1.0089,posthoc_size_shell_not_narrow_or_no_azimuth_sector,large_optical_area_posthoc_bin,152.418,402.483,250.066,true,posthoc optical-shape bin only; not runtime rule
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0080,328,290,42.747,-10.799,-45.414,34.573,79.987,53.546,false,edge=true;partial=true;duplicate_handoff=true;ambiguity=ambiguous_or_review_required,relaxed_state_size_shell,147.680,75.547,1.9548,true,true,77.624,0.9705,posthoc_size_shell_not_narrow_or_no_azimuth_sector,large_optical_area_posthoc_bin,152.418,402.483,250.066,true,posthoc optical-shape bin only; not runtime rule
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0098,330,315,-49.346,-12.994,-45.414,34.599,80.013,-36.352,false,edge=true;partial=true;duplicate_handoff=true;ambiguity=ambiguous_or_review_required,relaxed_state_size_shell,144.410,74.613,1.9355,true,true,80.550,1.0067,posthoc_size_shell_not_narrow_or_no_azimuth_sector,large_optical_area_posthoc_bin,152.418,402.483,250.066,true,posthoc optical-shape bin only; not runtime rule
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0098,331,317,-47.309,-12.994,-45.414,34.599,80.013,-34.315,false,edge=true;partial=true;duplicate_handoff=true;ambiguity=ambiguous_or_review_required,relaxed_state_size_shell,144.471,74.533,1.9383,true,true,83.199,1.0398,posthoc_size_shell_not_narrow_or_no_azimuth_sector,large_optical_area_posthoc_bin,152.418,402.483,250.066,false,posthoc optical-shape bin only; not runtime rule
