experiment_id,experiment_type,method,physical_vehicle_id,source_pair_id,sar_frame,persistent_hypothesis_id,parent_hypothesis_ids,branch_status,association_event,support_frames,assembly_id,hypothesis_region,hypothesis_centroid,hypothesis_azimuth,hypothesis_radial,velocity_px,area_ratio_vs_source,single_search_ratio,total_hypothesis_area,total_search_area,total_search_ratio,hypothesis_count,hypothesis_budget_exceeded,notes
ADJ_0205_TO_0206,adjacent_hidden_anchor,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,37,ADJ_0205_TO_0206_c1c_37_02,ADJ_0205_TO_0206_c1c_36_01,candidate_compact_branch,ambiguous_parallel_branch,3,C1C_ADJ_0205_TO_0206_37_a002,"962.000,1110.000,1129.000,1182.000","1051.578,1151.720",-28.402351,210.825226,"-1.572,-5.961",1.068454,0.015151,15816,39822.8328,0.015151,2,false,
ADJ_0205_TO_0206,adjacent_hidden_anchor,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,38,ADJ_0205_TO_0206_c1c_38_01,ADJ_0205_TO_0206_c1c_36_01,candidate_compact_branch,branch_continue,3,C1C_ADJ_0205_TO_0206_38_a002,"970.000,1118.000,1129.000,1182.000","1055.957,1149.618",-27.303982,209.442886,"2.807,-8.063",0.904241,0.015151,10176,39822.8328,0.015151,1,false,
ADJ_0205_TO_0206,adjacent_hidden_anchor,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,39,ADJ_0205_TO_0206_c1c_39_01,ADJ_0205_TO_0206_c1c_38_01,candidate_compact_branch,ambiguous_parallel_branch,4,C1C_ADJ_0205_TO_0206_39_a001,"1143.000,1077.000,1167.000,1093.000","1156.828,1089.724",0.673135,240.949158,"100.871,-59.894",0.034122,0.015151,600,39822.8328,0.015151,2,false,
ADJ_0205_TO_0206,adjacent_hidden_anchor,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,39,ADJ_0205_TO_0206_c1c_39_02,ADJ_0205_TO_0206_c1c_38_01,candidate_compact_branch,ambiguous_parallel_branch,4,C1C_ADJ_0205_TO_0206_39_a002,"1047.000,1205.000,1071.000,1214.000","1055.708,1211.125",-39.426853,154.745895,"-0.248,61.507",0.019194,0.015151,600,39822.8328,0.015151,2,false,
ADJ_0205_TO_0206,adjacent_hidden_anchor,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,40,ADJ_0205_TO_0206_c1c_40_01,ADJ_0205_TO_0206_c1c_38_01,candidate_compact_branch,ambiguous_parallel_branch,4,C1C_ADJ_0205_TO_0206_40_a001,"975.000,1125.000,1119.000,1165.000","1050.910,1141.077",-28.184238,217.402069,"-5.046,-8.541",0.511834,0.015151,6048,39822.8328,0.015151,2,false,
ADJ_0205_TO_0206,adjacent_hidden_anchor,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,40,ADJ_0205_TO_0206_c1c_40_02,ADJ_0205_TO_0206_c1c_38_01,candidate_compact_branch,ambiguous_parallel_branch,4,C1C_ADJ_0205_TO_0206_40_a002,"1047.000,1205.000,1079.000,1214.000","1060.892,1211.486",-37.981361,151.238312,"4.935,61.869",0.025592,0.015151,6048,39822.8328,0.015151,2,false,
ADJ_0205_TO_0206,adjacent_hidden_anchor,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,41,ADJ_0205_TO_0206_c1c_41_01,ADJ_0205_TO_0206_c1c_38_01,candidate_compact_branch,ambiguous_parallel_branch,4,C1C_ADJ_0205_TO_0206_41_a001,"983.000,1125.000,1111.000,1157.000","1052.972,1140.801",-27.63096,216.597778,"-2.985,-8.817",0.363971,0.015151,4312,39822.8328,0.015151,2,false,
ADJ_0205_TO_0206,adjacent_hidden_anchor,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,41,ADJ_0205_TO_0206_c1c_41_02,ADJ_0205_TO_0206_c1c_38_01,candidate_compact_branch,ambiguous_parallel_branch,4,C1C_ADJ_0205_TO_0206_41_a002,"1055.000,1205.000,1079.000,1214.000","1065.375,1211.625",-36.654716,148.398056,"9.418,62.007",0.019194,0.015151,4312,39822.8328,0.015151,2,false,
ADJ_0205_TO_0206,adjacent_hidden_anchor,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,42,ADJ_0205_TO_0206_c1c_42_01,ADJ_0205_TO_0206_c1c_38_01,candidate_compact_branch,branch_continue,4,C1C_ADJ_0205_TO_0206_42_a001,"983.000,1117.000,1198.000,1214.000","1129.413,1155.779",-6.692148,182.526566,"73.456,6.161",1.853178,0.015151,20855,39822.8328,0.015151,1,false,
ADJ_0205_TO_0206,adjacent_hidden_anchor,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,43,ADJ_0205_TO_0206_c1c_43_01,ADJ_0205_TO_0206_c1c_42_01,candidate_compact_branch,ambiguous_parallel_branch,5,C1C_ADJ_0205_TO_0206_43_a001,"1063.000,1114.000,1191.000,1154.000","1132.976,1137.390",-5.996572,197.708664,"3.563,-18.389",0.454964,0.015151,18664,39822.8328,0.015151,6,false,
