pair_plan_id,pair_type,frame_a,frame_b,aspect_difference_deg,range_difference_m,time_difference_frames,energy_centroid_difference_m,peak_position_difference_m,support_width_difference_m,near_far_ratio_difference,component_layout_difference_deg,response_structure_distance,pair_result_scope
E0R3_PAIR_0110,time_distant_control,317,380,36.147912,4.112856,63,0.726253,3.168907,1.872258,0.034025,87.145061,1.446654,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0111,time_distant_control,317,381,34.228638,4.067922,64,0.742217,1.775679,1.770004,0.030904,73.91577,1.051744,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0112,time_distant_control,317,382,33.397279,4.045714,65,0.65518,1.643838,1.971503,0.003711,71.49638,1.00737,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0113,time_distant_control,317,383,29.404051,3.907457,66,0.743386,3.161043,1.821409,0.036153,65.903016,1.370668,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0114,time_distant_control,317,384,31.331589,3.96407,67,0.629721,2.538175,2.066444,0.006945,73.560017,1.233507,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0115,time_distant_control,317,385,28.902882,3.805409,68,0.689567,1.565663,0.600189,0.106532,3.050544,0.637933,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0116,time_distant_control,317,386,29.325525,3.793537,69,0.678944,1.3897,0.644774,0.112643,5.167099,0.58132,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0117,time_distant_control,317,387,29.916193,3.78309,70,0.685024,1.419089,0.661206,0.113628,4.973847,0.591986,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0118,time_distant_control,317,388,27.443536,3.55577,71,0.690618,3.247026,2.33816,0.000739,67.814279,1.425925,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0119,time_distant_control,317,389,26.624728,3.676956,72,0.64061,2.983743,2.471406,0.017474,61.405502,1.338673,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0120,time_distant_control,317,390,27.101375,3.582593,73,0.622813,3.228936,2.234258,0.009417,60.142354,1.387957,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0121,time_distant_control,317,391,26.74449,3.615298,74,0.635123,3.20858,2.186178,0.00625,52.973791,1.3517,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0122,time_distant_control,317,392,26.773921,3.403104,75,0.724467,3.781237,0.310957,0.084835,7.615322,1.365175,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0123,time_distant_control,317,393,27.458248,3.353965,76,0.532996,1.702607,2.196896,0.001128,51.037941,0.948398,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0124,time_distant_control,317,394,28.439434,3.440003,77,0.732717,4.058478,0.477089,0.066404,4.351982,1.465695,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0125,time_nearby_control,319,321,0.933238,0.363865,2,0.108212,0.198224,0.488253,0.003804,1.778686,0.153129,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0126,time_nearby_control,319,323,0.987337,0.525807,4,0.022571,0.164984,0.456614,0.010474,2.532327,0.166237,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0127,same_aspect_similar_range,319,325,4.677547,0.746124,6,1.120952,4.105891,1.520864,0.015618,3.308123,1.564833,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0128,same_aspect_similar_range,319,327,4.322687,0.999344,8,0.153678,0.171537,0.5901,0.028454,3.004814,0.221966,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0129,same_aspect_similar_range,319,332,4.292011,1.667041,13,0.142695,0.45624,1.648479,0.006239,8.470817,0.513001,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0130,time_distant_control,319,339,13.075044,2.337471,20,0.066479,0.109657,0.771438,0.088737,3.471058,0.239184,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0131,time_distant_control,319,340,13.035032,2.503352,21,0.213769,0.899996,1.740493,0.029603,6.631323,0.574278,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0132,time_distant_control,319,341,13.086963,2.425871,22,0.161137,0.394967,1.690484,0.030827,8.470817,0.491023,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0133,time_distant_control,319,342,14.487417,2.522325,23,0.144381,0.040457,0.802305,0.098728,3.491026,0.24102,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0134,time_distant_control,319,343,15.065591,2.62548,24,0.188808,0.097987,1.113348,0.084948,4.075696,0.293637,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0135,time_distant_control,319,344,16.032885,2.713098,25,0.218677,0.09669,1.233046,0.123589,4.082466,0.324696,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0136,time_distant_control,319,345,16.731154,2.730402,26,0.243922,0.038354,0.652502,0.131377,4.229363,0.228565,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0137,time_distant_control,319,346,17.869879,2.842279,27,0.204112,0.082814,0.77481,0.136842,4.297555,0.229124,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0138,time_distant_control,319,347,19.383003,2.924336,28,0.140089,0.160003,0.997406,0.115808,3.837936,0.277151,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0139,time_distant_control,319,348,19.518689,3.05758,29,0.08062,0.095095,0.857825,0.147783,4.537265,0.251083,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0140,time_distant_control,319,349,20.012699,3.151146,30,0.124026,0.170475,0.757664,0.150239,3.341132,0.241258,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0141,time_distant_control,319,350,21.621307,3.177334,31,0.226514,0.570246,1.801264,0.036835,59.548016,0.72445,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0142,time_distant_control,319,351,20.869856,3.182741,32,0.242256,0.64316,1.697303,0.02944,69.347446,0.769324,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0143,time_distant_control,319,352,21.636903,3.422242,33,0.262628,2.074996,1.81479,0.022741,87.385337,1.128848,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0144,time_distant_control,319,353,22.140323,3.407823,34,0.165618,0.237148,0.687746,0.17586,4.912243,0.263322,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0145,time_distant_control,319,354,23.258097,3.488246,35,0.073176,0.281752,0.727257,0.142813,4.945893,0.265519,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0146,time_distant_control,319,355,25.088322,3.45378,36,0.129979,0.233294,0.82339,0.150341,5.514761,0.284763,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0147,time_distant_control,319,356,26.581865,3.514409,37,0.099361,0.316362,0.746454,0.162776,4.755508,0.290306,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0148,time_distant_control,319,357,28.827594,3.533942,38,1.094267,3.726641,0.800149,0.17799,4.856023,1.401175,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0149,time_distant_control,319,358,29.559389,3.680333,39,1.059376,3.604966,0.787111,0.167887,4.831112,1.355822,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0150,time_distant_control,319,359,29.921257,3.694602,40,1.097345,3.664514,0.846867,0.182055,5.16697,1.380051,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0151,time_distant_control,319,360,31.793119,3.689128,41,1.051659,1.877592,0.882719,0.224021,5.003196,0.812058,posthoc_structural_comparison_no_selector_no_ranking
