sar_frame,min,max,mean,std,p50,p90,p95,p99,nonzero_ratio,saturated_255_ratio,unique_value_count,color_luma_sampled,color_luma_max,color_luma_mean,color_luma_p99
227,0,249,30.43221511,26.19686335,40,59,64,80,0.60721686,0,201,false,,,
228,0,251,31.07847192,26.82248993,41,61,65,82,0.60708987,0,200,false,,,
229,0,249,33.53695867,28.88259336,45,65,71,88,0.60735068,0,209,false,,,
230,0,248,31.06575493,26.83120234,41,61,66,82,0.6071545,0,201,false,,,
231,0,249,35.5400257,30.15901782,48,68,73,89,0.60756147,0,196,false,,,
232,0,255,30.21735233,26.08211932,40,59,64,80,0.60712852,0.0000003248,195,false,,,
233,0,255,30.59855915,26.32366156,41,60,65,80,0.60733411,0.0000003248,193,false,,,
234,0,252,35.95501957,30.57748309,50,69,74,90,0.6074348,0,195,false,,,
235,0,244,34.62193069,29.34816752,47,66,71,86,0.60742863,0,195,false,,,
236,0,251,34.75169185,29.55008064,47,67,72,87,0.60729709,0,200,false,,,
237,0,245,34.18435778,28.95500231,47,65,69,85,0.60743285,0,189,false,,,
238,0,253,36.08758078,30.65358071,50,69,74,89,0.60734711,0,202,false,,,
239,0,248,31.13228026,26.79526207,41,61,66,82,0.60719997,0,206,false,,,
240,0,255,34.85101329,29.64103117,47,67,72,87,0.60730196,0.0000003248,193,false,,,
241,0,253,34.72175362,29.46305111,47,66,71,87,0.60741954,0,194,false,,,
242,0,253,34.88221206,29.66867804,47,67,72,87,0.60722823,0,195,false,,,
243,0,255,35.99434241,30.48976242,50,68,73,89,0.60746273,0.0000003248,197,false,,,
244,0,252,34.3178846,29.16347853,47,66,71,86,0.60719673,0,187,false,,,
245,0,251,35.29442828,29.89852654,48,67,72,88,0.6074793,0,195,false,,,
246,0,244,32.70258783,27.78619614,45,62,67,82,0.60720939,0,185,false,,,
247,0,252,31.38714828,26.60611048,44,60,64,79,0.60730293,0,185,false,,,
248,0,255,29.24123185,24.86670014,40,57,60,74,0.60717302,0.0000003248,176,false,,,
249,0,244,30.06717623,25.55466707,41,58,61,75,0.60716944,0,178,false,,,
250,0,255,31.7614399,27.0399478,44,61,66,80,0.60687161,0.0000003248,181,true,255,147.98830611,253
251,0,255,32.34921231,27.43513634,45,62,66,81,0.607085,0.0000003248,182,false,,,
252,0,251,30.42533662,26.2812709,40,59,64,81,0.6068427,0,199,false,,,
253,0,249,30.76686007,26.47388193,41,60,65,82,0.60711098,0,200,false,,,
254,0,255,29.97664729,25.89450947,40,59,64,80,0.60696905,0.0000003248,194,false,,,
255,0,244,30.98513287,26.61966292,41,60,65,82,0.60727793,0,194,false,,,
256,0,250,34.73052826,29.51821843,47,67,71,87,0.60734678,0,185,false,,,
257,0,246,36.10221243,30.65538685,50,69,74,91,0.60749456,0,192,false,,,
