response_unit_id,sar_frame,threshold_setting,threshold_value,component_count,largest_component_pixels,core_component_persistent,principal_axis_angle_to_range_deg,range_p80_width_m,azimuth_p80_width_m,scale_yaw_feasible,threshold_stability_count,principal_axis_angle_std_deg,range_p80_width_std_m,azimuth_p80_width_std_m,scale_yaw_feasible_fraction
R21B00054,39,positive_weight_q50,9,613,5091,true,64.624664,2.121552,2.428894,true,3,1.312849,0.217456,0.207016,0.333333
R21B00054,39,positive_weight_q70,16,328,2321,true,64.269451,1.904057,2.158261,false,3,1.312849,0.217456,0.207016,0.333333
R21B00054,39,positive_weight_q85,26,159,1058,true,67.21499,1.591718,1.922204,false,3,1.312849,0.217456,0.207016,0.333333
R21B00055,39,positive_weight_q50,14,38,309,true,41.964518,0.90159,0.855076,false,3,0.931611,0.085012,0.053355,0
R21B00055,39,positive_weight_q70,20,31,134,true,40.75234,0.876007,0.805007,false,3,0.931611,0.085012,0.053355,0
R21B00055,39,positive_weight_q85,28.6,30,72,true,39.68406,0.709828,0.725494,false,3,0.931611,0.085012,0.053355,0
R21B00056,40,positive_weight_q50,11,262,2467,true,5.048071,1.622602,1.505352,false,3,2.525719,0.33044,0.112528,0
R21B00056,40,positive_weight_q70,19,132,1030,true,8.279328,1.507054,1.380641,false,3,2.525719,0.33044,0.112528,0
R21B00056,40,positive_weight_q85,29,81,498,true,2.094685,0.871039,1.230119,false,3,2.525719,0.33044,0.112528,0
R21B00057,40,positive_weight_q50,12,41,836,true,58.273297,1.035482,1.682896,false,3,0.995985,0.085214,0.055278,0
R21B00057,40,positive_weight_q70,19,35,269,true,57.238858,0.951731,1.624755,false,3,0.995985,0.085214,0.055278,0
R21B00057,40,positive_weight_q85,29,18,146,true,55.842601,0.828029,1.547923,false,3,0.995985,0.085214,0.055278,0
R21B00058,40,positive_weight_q50,19,4,99,true,82.515878,0.093696,0.450476,false,3,0.838322,0.01446,0.028398,0
R21B00058,40,positive_weight_q70,29,6,36,true,84.241764,0.092089,0.449994,false,3,0.838322,0.01446,0.028398,0
R21B00058,40,positive_weight_q85,49,2,21,true,84.342414,0.06225,0.389994,false,3,0.838322,0.01446,0.028398,0
R21B00059,40,positive_weight_q50,11,46,452,true,39.987085,0.975555,0.854688,false,3,0.336645,0.068968,0.043687,0
