response_unit_id,source_response_box_id,source_r1_family_id,sar_frame,core_atom_ids,optional_atom_ids,core_bbox,conservative_bbox,uncertain_envelope,response_state
R21B00028,R21B00028,R21R1F00018,31,R21A00018;R21A00019,R21A00020;R21A00021,"1042,1135,1193,1249","1042,1135,1193,1249","1042,1135,1193,1249",local_response_unit_not_complete_vehicle
R21B00029,R21B00029,R21R1F00018,31,R21A00018;R21A00020,R21A00019;R21A00021,"1042,1135,1193,1249","1042,1135,1193,1249","1042,1135,1193,1249",local_response_unit_not_complete_vehicle
R21B00030,R21B00030,R21R1F00018,31,R21A00018;R21A00021,R21A00019;R21A00020,"1042,1135,1193,1249","1042,1135,1193,1249","1042,1135,1193,1249",local_response_unit_not_complete_vehicle
R21B00031,R21B00031,R21R1F00018,31,R21A00019;R21A00020,R21A00018;R21A00021,"1042,1135,1114,1243","1042,1135,1114,1243","1042,1135,1193,1249",local_response_unit_not_complete_vehicle
R21B00032,R21B00032,R21R1F00021,32,R21A00022,R21A00023;R21A00024;R21A00025;R21A00026;R21A00027,"1102,1135,1192,1249","1102,1135,1192,1249","1048,1135,1192,1249",local_response_unit_not_complete_vehicle
R21B00033,R21B00033,R21R1F00022,32,R21A00023,R21A00022;R21A00024;R21A00025;R21A00026;R21A00027,"1072,1159,1096,1189","1072,1159,1096,1189","1048,1135,1192,1249",local_response_unit_not_complete_vehicle
R21B00034,R21B00034,R21R1F00023,32,R21A00024,R21A00022;R21A00023;R21A00025;R21A00026;R21A00027,"1090,1135,1114,1147","1090,1135,1114,1147","1048,1135,1192,1249",local_response_unit_not_complete_vehicle
R21B00035,R21B00035,R21R1F00024,32,R21A00025,R21A00022;R21A00023;R21A00024;R21A00026;R21A00027,"1048,1225,1060,1243","1048,1225,1060,1243","1048,1135,1192,1249",local_response_unit_not_complete_vehicle
R21B00036,R21B00036,R21R1F00025,32,R21A00026,R21A00022;R21A00023;R21A00024;R21A00025;R21A00027,"1072,1219,1090,1237","1072,1219,1090,1237","1048,1135,1192,1249",local_response_unit_not_complete_vehicle
R21B00037,R21B00037,R21R1F00026,32,R21A00027,R21A00022;R21A00023;R21A00024;R21A00025;R21A00026,"1048,1165,1072,1177","1048,1165,1072,1177","1048,1135,1192,1249",local_response_unit_not_complete_vehicle
R21B00038,R21B00038,R21R1F00021,32,R21A00022;R21A00023,R21A00024;R21A00025;R21A00026;R21A00027,"1072,1135,1192,1249","1072,1135,1192,1249","1048,1135,1192,1249",local_response_unit_not_complete_vehicle
R21B00039,R21B00039,R21R1F00021,32,R21A00022;R21A00024,R21A00023;R21A00025;R21A00026;R21A00027,"1090,1135,1192,1249","1090,1135,1192,1249","1048,1135,1192,1249",local_response_unit_not_complete_vehicle
R21B00040,R21B00040,R21R1F00027,34,R21A00028,R21A00029;R21A00031;R21A00032;R21A00033,"1108,1135,1193,1267","1108,1135,1193,1267","1036,1135,1193,1267",local_response_unit_not_complete_vehicle
R21B00041,R21B00041,R21R1F00028,34,R21A00029,R21A00028;R21A00030;R21A00031;R21A00032;R21A00033;R21A00034,"1036,1219,1072,1243","1036,1219,1072,1243","952,1135,1193,1267",local_response_unit_not_complete_vehicle
R21B00042,R21B00042,R21R1F00029,34,R21A00030,R21A00029;R21A00034,"952,1153,988,1171","952,1153,988,1171","952,1141,1072,1243",local_response_unit_not_complete_vehicle
R21B00043,R21B00043,R21R1F00030,34,R21A00031,R21A00028;R21A00029;R21A00032;R21A00033;R21A00034,"1102,1135,1120,1147","1102,1135,1120,1147","1018,1135,1193,1267",local_response_unit_not_complete_vehicle
R21B00044,R21B00044,R21R1F00031,34,R21A00032,R21A00028;R21A00029;R21A00031;R21A00033;R21A00034,"1078,1219,1102,1237","1078,1219,1102,1237","1018,1135,1193,1267",local_response_unit_not_complete_vehicle
R21B00045,R21B00045,R21R1F00032,34,R21A00033,R21A00028;R21A00029;R21A00031;R21A00032;R21A00034,"1072,1165,1102,1189","1072,1165,1102,1189","1018,1135,1193,1267",local_response_unit_not_complete_vehicle
R21B00046,R21B00046,R21R1F00033,34,R21A00034,R21A00029;R21A00030;R21A00031;R21A00032;R21A00033,"1018,1141,1042,1159","1018,1141,1042,1159","952,1135,1120,1243",local_response_unit_not_complete_vehicle
R21B00047,R21B00047,R21R1F00027,34,R21A00028;R21A00029,R21A00030;R21A00031;R21A00032;R21A00033;R21A00034,"1036,1135,1193,1267","1036,1135,1193,1267","952,1135,1193,1267",local_response_unit_not_complete_vehicle
R21B00048,R21B00048,R21R1F00034,39,R21A00035,R21A00039;R21A00040;R21A00041,"1108,1165,1192,1276","1108,1165,1192,1276","1048,1165,1192,1276",local_response_unit_not_complete_vehicle
R21B00049,R21B00049,R21R1F00035,39,R21A00038,R21A00039;R21A00040;R21A00041,"982,1141,1030,1153","982,1141,1030,1153","982,1141,1114,1231",local_response_unit_not_complete_vehicle
R21B00050,R21B00050,R21R1F00036,39,R21A00039,R21A00035;R21A00038;R21A00040;R21A00041,"1084,1213,1102,1231","1084,1213,1102,1231","982,1141,1192,1276",local_response_unit_not_complete_vehicle
R21B00051,R21B00051,R21R1F00037,39,R21A00040,R21A00035;R21A00038;R21A00039;R21A00041,"1048,1207,1078,1225","1048,1207,1078,1225","982,1141,1192,1276",local_response_unit_not_complete_vehicle
