response_unit_id,source_response_box_id,source_r1_family_id,sar_frame,core_atom_ids,optional_atom_ids,core_bbox,conservative_bbox,uncertain_envelope,response_state
R21B00084,R21B00084,R21R1F00061,79,R21A00069,R21A00070;R21A00071;R21A00072;R21A00073;R21A00074,"1194,1187,1254,1241","1194,1187,1254,1241","1146,1133,1308,1271",local_response_unit_not_complete_vehicle
R21B00085,R21B00085,R21R1F00062,79,R21A00070,R21A00069;R21A00071;R21A00073,"1290,1133,1308,1145","1290,1133,1308,1145","1194,1133,1308,1241",local_response_unit_not_complete_vehicle
R21B00086,R21B00086,R21R1F00063,79,R21A00071,R21A00069;R21A00070;R21A00072;R21A00073,"1230,1175,1260,1187","1230,1175,1260,1187","1170,1133,1308,1271",local_response_unit_not_complete_vehicle
R21B00087,R21B00087,R21R1F00064,79,R21A00072,R21A00069;R21A00071;R21A00073;R21A00074,"1170,1247,1206,1271","1170,1247,1206,1271","1146,1175,1260,1271",local_response_unit_not_complete_vehicle
R21B00088,R21B00088,R21R1F00065,79,R21A00073,R21A00069;R21A00070;R21A00071;R21A00072,"1242,1199,1260,1205","1242,1199,1260,1205","1170,1133,1308,1271",local_response_unit_not_complete_vehicle
R21B00089,R21B00089,R21R1F00066,79,R21A00074,R21A00069;R21A00072,"1146,1247,1164,1271","1146,1247,1164,1271","1146,1187,1254,1271",local_response_unit_not_complete_vehicle
R21B00090,R21B00090,R21R1F00061,79,R21A00069;R21A00071,R21A00070;R21A00072;R21A00073;R21A00074,"1194,1175,1260,1241","1194,1175,1260,1241","1146,1133,1308,1271",local_response_unit_not_complete_vehicle
R21B00091,R21B00091,R21R1F00064,79,R21A00069;R21A00072,R21A00070;R21A00071;R21A00073;R21A00074,"1170,1187,1254,1271","1170,1187,1254,1271","1146,1133,1308,1271",local_response_unit_not_complete_vehicle
R21B00092,R21B00092,R21R1F00067,80,R21A00075,R21A00076;R21A00077;R21A00078;R21A00080;R21A00081,"1146,1133,1266,1163","1146,1133,1266,1163","1146,1133,1326,1271",local_response_unit_not_complete_vehicle
R21B00093,R21B00093,R21R1F00068,80,R21A00076,R21A00075;R21A00077;R21A00078;R21A00080;R21A00081,"1200,1181,1260,1241","1200,1181,1260,1241","1146,1133,1326,1271",local_response_unit_not_complete_vehicle
R21B00094,R21B00094,R21R1F00069,80,R21A00077,R21A00075;R21A00076;R21A00080,"1146,1241,1212,1271","1146,1241,1212,1271","1146,1133,1266,1271",local_response_unit_not_complete_vehicle
R21B00095,R21B00095,R21R1F00070,80,R21A00078,R21A00075;R21A00076;R21A00080;R21A00081,"1272,1163,1290,1187","1272,1163,1290,1187","1146,1133,1326,1241",local_response_unit_not_complete_vehicle
R21B00096,R21B00096,R21R1F00071,80,R21A00080,R21A00075;R21A00076;R21A00077;R21A00078;R21A00081,"1236,1175,1266,1187","1236,1175,1266,1187","1146,1133,1326,1271",local_response_unit_not_complete_vehicle
R21B00097,R21B00097,R21R1F00072,80,R21A00081,R21A00075;R21A00076;R21A00078;R21A00080,"1308,1175,1326,1199","1308,1175,1326,1199","1146,1133,1326,1241",local_response_unit_not_complete_vehicle
R21B00098,R21B00098,R21R1F00067,80,R21A00075;R21A00076,R21A00077;R21A00078;R21A00080;R21A00081,"1146,1133,1266,1241","1146,1133,1266,1241","1146,1133,1326,1271",local_response_unit_not_complete_vehicle
R21B00099,R21B00099,R21R1F00067,80,R21A00075;R21A00077,R21A00076;R21A00078;R21A00080;R21A00081,"1146,1133,1266,1271","1146,1133,1266,1271","1146,1133,1326,1271",local_response_unit_not_complete_vehicle
R21B00100,R21B00100,R21R1F00073,81,R21A00083,R21A00084;R21A00085;R21A00086,"1200,1181,1260,1241","1200,1181,1260,1241","1176,1133,1314,1271",local_response_unit_not_complete_vehicle
