atom_id,sar_frame,pixel_centroid_x,pixel_centroid_y,azimuth,radial,pixel_area,support_pixel_count,support_bbox,integrated_energy,mean_energy,peak_energy,relative_energy_within_local_field,atom_axis1,atom_axis2,atom_aspect_ratio,atom_orientation,compactness,local_arc_consistency,boundary_contact,extraction_threshold,threshold_provenance,source_shell_provenance
R1A0108,224,1054.463415,1222.439024,-42.646004,147.222992,82,82,"1041.000,1210.000,1065.000,1240.000",8395,102.378049,146,0.005498,33.668766,17.039139,1.975966,-53.245462,0.113889,0.763928,false,87,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0109,224,1019.357143,1233.357143,-54.149532,166.108887,28,28,"1011.000,1228.000,1029.000,1240.000",2662,95.071429,110,0.001743,17.54266,8.202532,2.138688,7.487797,0.12963,0,false,87,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0110,227,1093.726151,1177.546875,-21.488184,167.394897,1216,1216,"1021.000,1135.000,1171.000,1237.000",135374,111.327303,203,0.074262,127.694571,124.207901,1.028071,39.52175,0.079477,0,true,97,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0111,227,1188.166667,1145.833333,10.492766,187.954025,18,18,"1177.000,1135.000,1195.000,1153.000",1890,105,122,0.001037,21.497154,10.357805,2.075455,45.303945,0.055556,0.226061,true,97,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0112,227,1209.625,1160.3125,18.113935,179.226776,16,16,"1201.000,1147.000,1218.000,1165.000",1662,103.875,111,0.000912,25.591828,9.643218,2.653868,46.833111,0.052288,0.36126,true,97,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0113,227,1064.975904,1222.722892,-39.548447,140.104584,83,83,"1051.000,1207.000,1075.000,1237.000",9516,114.650602,149,0.00522,33.057492,15.840607,2.086883,-47.09122,0.115278,0.831988,false,97,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0114,227,1033.071429,1235.857143,-51.924046,153.626984,14,14,"1027.000,1231.000,1039.000,1243.000",1497,106.928571,121,0.000821,12.2872,4.703574,2.612311,42.475339,0.097222,0,false,97,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0115,228,1094.741857,1177.606678,-21.131615,167.04541,1228,1228,"1021.000,1135.000,1159.000,1237.000",125735,102.390065,192,0.07539,128.982644,124.410912,1.036747,31.224866,0.087241,0,true,89,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0116,228,1200.64,1151.68,14.721162,185.325073,25,25,"1183.000,1135.000,1218.000,1165.000",2370,94.8,110,0.001421,55.97875,18.014241,3.107472,40.023296,0.02381,0.43527,true,89,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0117,228,1066.744444,1223.411111,-39.177647,138.475784,90,90,"1051.000,1207.000,1081.000,1237.000",9405,104.5,146,0.005639,34.838113,16.518223,2.109071,-49.899367,0.1,0.761054,false,89,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0118,228,1036.142857,1235.428571,-51.079166,151.489578,14,14,"1027.000,1231.000,1045.000,1243.000",1426,101.857143,121,0.000855,12.767318,4.533875,2.815984,40.454862,0.064815,0,false,89,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0119,238,1121.425896,1194.355049,-13.069805,142.179031,1228,1228,"1051.000,1135.000,1177.000,1255.000",129784,105.687296,251,0.081546,142.248431,98.627538,1.442279,69.561556,0.081217,0,true,88,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0120,238,1065.954545,1235.363636,-42.762608,129.707642,22,22,"1063.000,1231.000,1075.000,1243.000",2096,95.272727,111,0.001317,15.109116,4.970072,3.040019,60.56462,0.152778,0,false,88,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0121,239,1123.707143,1194.21746,-12.26472,141.511475,1260,1260,"1051.000,1135.000,1177.000,1255.000",139731,110.897619,249,0.084806,139.260414,91.299139,1.52532,73.754104,0.083333,0,true,91,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0122,239,1100.576577,1224.081081,-26.779709,119.482704,111,111,"1087.000,1201.000,1111.000,1237.000",11577,104.297297,138,0.007026,39.762825,15.713012,2.530567,-57.461072,0.128472,0.314989,false,91,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0123,239,1069.4375,1236.0625,-41.816086,126.844162,16,16,"1063.000,1231.000,1075.000,1243.000",1644,102.75,124,0.000998,11.63297,4.382619,2.654342,57.208365,0.111111,0,false,91,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0124,243,1131.340301,1196.158027,-9.397206,138.180603,1196,1196,"1069.000,1135.000,1195.000,1249.000",136649,114.255017,245,0.081069,133.596673,92.873339,1.438483,76.312023,0.083264,0,true,95,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0125,243,1186.9375,1168.625,11.487974,165.347183,16,16,"1177.000,1165.000,1195.000,1177.000",1691,105.6875,132,0.001003,18.270941,6.829302,2.675375,0.558653,0.074074,0.756985,false,95,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
