atom_id,sar_frame,candidate_role,graph_role_class,support_bbox,centroid_x,centroid_y,persistent_part_track_id
R21A00143,272,isolated_small_atom,optional_support_candidate,"1257,1138,1287,1156",1270.095238,1142.761905,
R21A00144,272,isolated_small_atom,optional_support_candidate,"1227,1144,1251,1156",1238.285714,1151.857143,
R21A00145,273,body_core_candidate,core_member_candidate,"1115,1140,1259,1266",1194.054945,1192.778022,R21PT0016
R21A00146,273,endpoint_hotspot_candidate,core_member_candidate,"1241,1194,1259,1236",1249.170213,1218.180851,R21PT0017
R21A00147,273,isolated_small_atom,optional_support_candidate,"1265,1170,1283,1188",1274.15625,1180.34375,
R21A00148,273,isolated_small_atom,optional_support_candidate,"1259,1140,1289,1152",1272.16129,1143.806452,
R21A00149,276,unresolved_atom,core_member_candidate,"1115,1140,1271,1242",1201.715379,1188.9671,R21PT0016
R21A00150,276,body_core_candidate,core_member_candidate,"1157,1212,1211,1242",1180.38785,1232.060748,R21PT0018
R21A00151,276,endpoint_hotspot_candidate,core_member_candidate,"1253,1194,1271,1236",1259.820513,1214.858974,R21PT0017
R21A00152,276,isolated_small_atom,optional_support_candidate,"1271,1140,1283,1152",1275.888889,1143.722222,
R21A00153,276,isolated_small_atom,optional_support_candidate,"1175,1254,1211,1266",1190.8,1261.533333,
R21A00154,278,unresolved_atom,core_member_candidate,"1121,1140,1277,1236",1209.27592,1182.56689,R21PT0018
R21A00155,278,body_core_candidate,core_member_candidate,"1163,1212,1217,1266",1184.880952,1234.657143,R21PT0016
R21A00156,278,isolated_small_atom,optional_support_candidate,"1277,1140,1289,1158",1281.764706,1146.529412,
R21A00157,279,unresolved_atom,core_member_candidate,"1115,1140,1283,1236",1208.337793,1181.698161,R21PT0016
R21A00158,279,body_core_candidate,core_member_candidate,"1163,1212,1217,1266",1186.818898,1235.53937,R21PT0018
R21A00159,279,isolated_small_atom,optional_support_candidate,"1259,1140,1289,1158",1272.896552,1147.758621,
R21A00160,279,isolated_small_atom,optional_support_candidate,"1289,1170,1313,1200",1302.157895,1189.157895,
R21A00161,280,unresolved_atom,core_member_candidate,"1115,1140,1277,1236",1210.242784,1182.483022,R21PT0018
R21A00162,280,body_core_candidate,core_member_candidate,"1163,1212,1223,1266",1189.625483,1234.6139,R21PT0016
R21A00163,280,isolated_small_atom,optional_support_candidate,"1265,1146,1277,1158",1269.190476,1149.142857,
R21A00164,281,unresolved_atom,core_member_candidate,"1115,1140,1283,1236",1210.254709,1182.167895,R21PT0016
