pair_plan_id,pair_type,physical_vehicle_id,frame_a,frame_b,split_a,split_b,aspect_difference_deg,range_difference_m,time_difference_frames,aspect_same_threshold_deg,aspect_different_threshold_deg,similar_range_threshold_m,minimum_time_separation_frames,pair_selection_basis,response_fields_reserved_for_evaluate
E0R3_PAIR_0045,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,375,calibration,posthoc_diagnosis,40.344409,4.44488,60,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0046,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,376,calibration,posthoc_diagnosis,40.594398,4.407382,61,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0047,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,377,calibration,posthoc_diagnosis,36.718297,4.300439,62,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0048,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,378,calibration,posthoc_diagnosis,37.171462,4.366304,63,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0049,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,379,calibration,posthoc_diagnosis,34.903526,4.222195,64,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0050,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,380,calibration,posthoc_diagnosis,34.601321,4.242146,65,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0051,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,381,calibration,posthoc_diagnosis,32.682047,4.197212,66,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0052,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,382,calibration,posthoc_diagnosis,31.850688,4.175004,67,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0053,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,383,calibration,posthoc_diagnosis,27.85746,4.036747,68,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0054,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,384,calibration,posthoc_diagnosis,29.784998,4.09336,69,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0055,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,385,calibration,posthoc_diagnosis,27.356291,3.934699,70,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0056,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,386,calibration,posthoc_diagnosis,27.778934,3.922827,71,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0057,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,387,calibration,posthoc_diagnosis,28.369602,3.91238,72,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0058,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,388,calibration,posthoc_diagnosis,25.896945,3.68506,73,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
