source_family_id,target_family_id,source_frame,target_frame,source_geometry_type,target_geometry_type,center_shift_min_px,center_shift_max_px,bbox_iou_min,bbox_iou_max,shared_core_track_ids,temporal_edge_state,geometry_uncertainty
R21R1F00024,R21R1F00027,32,34,single_conservative_bbox,common_core_bbox,101.986519,101.986519,0,0,R21PT0004,shared_core_track_diagnostic,true
R21R1F00024,R21R1F00028,32,34,single_conservative_bbox,single_conservative_bbox,3,3,0.25,0.25,R21PT0004,shared_core_track_diagnostic,false
R21R1F00024,R21R1F00029,32,34,single_conservative_bbox,single_conservative_bbox,110.634533,110.634533,0,0,,single_geometry_possible_correspondence,false
R21R1F00024,R21R1F00030,32,34,single_conservative_bbox,single_conservative_bbox,109.077954,109.077954,0,0,,single_geometry_possible_correspondence,false
R21R1F00024,R21R1F00031,32,34,single_conservative_bbox,single_conservative_bbox,36.496575,36.496575,0,0,,single_geometry_possible_correspondence,false
R21R1F00024,R21R1F00032,32,34,single_conservative_bbox,single_conservative_bbox,65.863495,65.863495,0,0,,single_geometry_possible_correspondence,false
R21R1F00024,R21R1F00033,32,34,single_conservative_bbox,single_conservative_bbox,87.361319,87.361319,0,0,,single_geometry_possible_correspondence,false
R21R1F00025,R21R1F00027,32,34,single_conservative_bbox,common_core_bbox,74.560378,74.560378,0,0,,single_geometry_possible_correspondence,true
R21R1F00025,R21R1F00028,32,34,single_conservative_bbox,single_conservative_bbox,27.166155,27.166155,0,0,,single_geometry_possible_correspondence,false
R21R1F00025,R21R1F00029,32,34,single_conservative_bbox,single_conservative_bbox,129.13946,129.13946,0,0,,single_geometry_possible_correspondence,false
R21R1F00025,R21R1F00030,32,34,single_conservative_bbox,single_conservative_bbox,92.02717,92.02717,0,0,,single_geometry_possible_correspondence,false
R21R1F00025,R21R1F00031,32,34,single_conservative_bbox,single_conservative_bbox,9,9,0.4,0.4,R21PT0003,shared_core_track_diagnostic,false
R21R1F00025,R21R1F00032,32,34,single_conservative_bbox,single_conservative_bbox,51.351728,51.351728,0,0,,single_geometry_possible_correspondence,false
