response_unit_id,sar_frame,measurement_region_type,matched_gt_pair_id,matched_gt_instance_id,response_region_bbox,physical_vehicle_id,mask_class,gt_pair_linked_mask_context,frame_only_mask_context,mask_state,actual_fan_pixel_censored,gt_bbox_intersects_invalid_mask,sar_response_touches_mask,sar_response_truncation_direction,multiple_boundary_variant_uncertainty,response_center_radial_px,response_center_azimuth_deg,range_p50_width_px,range_p80_width_px,range_p90_width_px,azimuth_p50_width_px,azimuth_p80_width_px,azimuth_p90_width_px,sar_azimuth_p50_width_deg_approx,sar_azimuth_p80_width_deg_approx,sar_azimuth_p90_width_deg_approx,sar_range_p80_interval_m,sar_cross_range_p80_width_m,absolute_scale_status,scale_blocked_reason
R21B00039,32,core_region,,,"1090,1135,1192,1249",,,false,false,no_mask_audit_row,false,,,,true,139.208333,-5.358386,52.397725,87.583837,98.348997,31.893206,64.283508,79.650404,13.126701,26.457997,32.78275,,,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
R21B00040,34,core_region,,,"1108,1135,1193,1267",,,false,false,no_mask_audit_row,false,,,,true,129.647252,-1.546964,57.438163,96.182524,113.714712,28.073098,57.19751,69.054298,12.406511,25.277635,30.517576,,,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
R21B00041,34,core_region,,,"1036,1219,1072,1243",,,false,false,no_mask_audit_row,false,,,,false,141.138797,-45.114821,8.496601,19.84713,24.067089,9.873968,18.364901,23.307553,4.008371,7.455295,9.461781,,,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
R21B00042,34,core_region,,,"952,1153,988,1171",,,false,false,no_mask_audit_row,false,,,,false,249.563539,-47.500836,10.260313,18.493887,22.242031,11.975307,20.822753,24.87623,2.749338,4.78057,5.711183,,,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
R21B00043,34,core_region,,,"1102,1135,1120,1147",,,false,false,no_mask_audit_row,false,,,,false,194.414917,-12.778141,3.639638,7.178462,9.088809,4.785641,8.686576,11.169925,1.41037,2.56001,3.291875,,,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
R21B00044,34,core_region,,,"1078,1219,1102,1237",,,false,false,no_mask_audit_row,false,,,,false,120.924605,-31.955159,6.779431,12.61778,16.423457,8.694674,15.591533,19.296321,4.119659,7.387488,9.142868,,,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
R21B00045,34,core_region,,,"1072,1165,1102,1189",,,false,false,no_mask_audit_row,false,,,,false,167.576729,-23.566729,10.599324,18.897612,22.379002,11.983764,20.896696,25.313777,4.097342,7.144742,8.654976,,,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
R21B00046,34,core_region,,,"1018,1141,1042,1159",,,false,false,no_mask_audit_row,false,,,,false,219.071586,-34.473501,2.275968,7.727155,13.22764,8.600842,16.327996,20.290171,2.249456,4.270409,5.306673,,,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
R21B00047,34,core_region,,,"1036,1135,1193,1267",,,false,false,no_mask_audit_row,false,,,,true,135.48583,-16.95038,58.679937,94.964175,118.56,51.690277,106.433271,132.252945,21.859369,45.009705,55.928621,,,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
R21B00048,39,core_region,,,"1108,1165,1192,1276",,,false,false,no_mask_audit_row,false,,,,true,110.172637,-2.080675,31.28726,70.697227,90.504323,23.82352,56.545801,68.318234,12.38953,29.4069,35.529207,,,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
R21B00049,39,core_region,,,"982,1141,1030,1153",,,false,false,no_mask_audit_row,false,,,,false,235.824002,-38.872295,10.192347,18.67664,23.824547,12.758667,23.356401,29.584775,3.099845,5.674669,7.187914,,,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
R21B00050,39,core_region,,,"1084,1213,1102,1231",,,false,false,no_mask_audit_row,false,,,,true,124.559062,-29.322673,5.720981,11.549541,14.380327,6.808015,12.695985,15.526771,3.131611,5.840012,7.142141,,,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
R21B00051,39,core_region,,,"1048,1207,1078,1225",,,false,false,no_mask_audit_row,false,,,,false,146.335778,-38.451906,11.700488,19.508558,21.972754,8.913746,16.146427,19.416988,3.490056,6.321913,7.602457,,,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
R21B00052,39,core_region,,,"1084,1171,1114,1183",,,false,false,no_mask_audit_row,false,,,,false,163.150115,-19.701071,6.068031,10.705478,12.728155,10.018994,17.480834,21.386439,3.518515,6.138997,7.510584,,,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
R21B00053,39,core_region,,,"1084,1165,1192,1276",,,false,false,no_mask_audit_row,false,,,,true,111.256505,-8.26848,33.317602,71.049328,91.094898,31.506472,72.080279,89.934516,16.225459,37.120488,46.315208,,,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
R21B00054,39,core_region,,,"1048,1165,1192,1276",,,false,false,no_mask_audit_row,false,,,,true,115.230248,-17.16122,39.540833,74.892662,95.069656,40.255923,88.648599,111.607848,20.016398,44.078622,55.494619,,,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
