experiment_id,experiment_type,method,physical_vehicle_id,source_pair_id,hidden_target_pair_id,sar_frame,frame_offset,hidden_target_coverage,hidden_target_iou,prediction_center_to_visible_response_center,prediction_region_area,search_window_area,static_fan_geometry_area,search_ratio,prediction_status,selection_status,first_lost_frame,consecutive_missing_length,ambiguous_frame_count,measured_response_switch_count,cumulative_drift_from_source,frozen_predictions_sha256_verified,target_box_loaded_phase
OPEN_WHITE_0204_TO_0207,open_loop,C2,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,WGV35A_PAIR_0207,81,54,0,0,181.094212,13142.1717,42228.6997,2628414,0.016066,ambiguous_response,ambiguous_response,29,0,31,0,325.162239,31ce1b65317fea5b1cb2a5b37afb8c2eb79416de625801d8e0ddef6da7df9c31,evaluate_only
OPEN_SILVER_0208_TO_0213,open_loop,C0,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0208,WGV35A_PAIR_0209,238,26,0.373204,0.192907,96.663416,13003.845572,13003.845572,2628414,0.004947,fixed_anchor_baseline,fixed_anchor_no_sar_response_read,,0,0,0,0,31ce1b65317fea5b1cb2a5b37afb8c2eb79416de625801d8e0ddef6da7df9c31,evaluate_only
OPEN_SILVER_0208_TO_0213,open_loop,C1,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0208,WGV35A_PAIR_0209,238,26,0.494538,0.272728,54.357845,13003.845572,38332.453572,2628414,0.014584,ambiguous_response,ambiguous_response,213,0,24,0,60.508321,31ce1b65317fea5b1cb2a5b37afb8c2eb79416de625801d8e0ddef6da7df9c31,evaluate_only
OPEN_SILVER_0208_TO_0213,open_loop,C2,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0208,WGV35A_PAIR_0209,238,26,0,0,174.864464,13003.845572,41842.309572,2628414,0.015919,missing_observation,missing_observation,214,4,8,0,265.968924,31ce1b65317fea5b1cb2a5b37afb8c2eb79416de625801d8e0ddef6da7df9c31,evaluate_only
OPEN_SILVER_0208_TO_0213,open_loop,C0,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0208,WGV35A_PAIR_0210,269,57,0,0,205.468723,13003.845572,13003.845572,2628414,0.004947,fixed_anchor_baseline,fixed_anchor_no_sar_response_read,,0,0,0,0,31ce1b65317fea5b1cb2a5b37afb8c2eb79416de625801d8e0ddef6da7df9c31,evaluate_only
OPEN_SILVER_0208_TO_0213,open_loop,C1,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0208,WGV35A_PAIR_0210,269,57,0,0,279.647929,13003.845572,38332.453572,2628414,0.014584,ambiguous_response,ambiguous_response,213,0,47,0,434.548884,31ce1b65317fea5b1cb2a5b37afb8c2eb79416de625801d8e0ddef6da7df9c31,evaluate_only
OPEN_SILVER_0208_TO_0213,open_loop,C2,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0208,WGV35A_PAIR_0210,269,57,0,0,215.585344,13003.845572,41842.309572,2628414,0.015919,missing_observation,missing_observation,214,35,8,0,415.327402,31ce1b65317fea5b1cb2a5b37afb8c2eb79416de625801d8e0ddef6da7df9c31,evaluate_only
OPEN_SILVER_0208_TO_0213,open_loop,C0,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0208,WGV35A_PAIR_0211,273,61,0,0,213.332439,13003.845572,13003.845572,2628414,0.004947,fixed_anchor_baseline,fixed_anchor_no_sar_response_read,,0,0,0,0,31ce1b65317fea5b1cb2a5b37afb8c2eb79416de625801d8e0ddef6da7df9c31,evaluate_only
OPEN_SILVER_0208_TO_0213,open_loop,C1,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0208,WGV35A_PAIR_0211,273,61,0,0,331.910669,13003.845572,38332.453572,2628414,0.014584,ambiguous_response,ambiguous_response,213,0,51,0,491.035307,31ce1b65317fea5b1cb2a5b37afb8c2eb79416de625801d8e0ddef6da7df9c31,evaluate_only
OPEN_SILVER_0208_TO_0213,open_loop,C2,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0208,WGV35A_PAIR_0211,273,61,0,0,244.608861,13003.845572,41842.309572,2628414,0.015919,observed_response,selected_unique_component_after_hard_gate,214,0,8,0,452.539144,31ce1b65317fea5b1cb2a5b37afb8c2eb79416de625801d8e0ddef6da7df9c31,evaluate_only
OPEN_SILVER_0208_TO_0213,open_loop,C0,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0208,WGV35A_PAIR_0212,288,76,0,0,243.837424,13003.845572,13003.845572,2628414,0.004947,fixed_anchor_baseline,fixed_anchor_no_sar_response_read,,0,0,0,0,31ce1b65317fea5b1cb2a5b37afb8c2eb79416de625801d8e0ddef6da7df9c31,evaluate_only
OPEN_SILVER_0208_TO_0213,open_loop,C1,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0208,WGV35A_PAIR_0212,288,76,0,0,590.424162,13003.845572,38332.453572,2628414,0.014584,ambiguous_response,ambiguous_response,213,0,61,0,646.019611,31ce1b65317fea5b1cb2a5b37afb8c2eb79416de625801d8e0ddef6da7df9c31,evaluate_only
OPEN_SILVER_0208_TO_0213,open_loop,C2,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0208,WGV35A_PAIR_0212,288,76,0,0,408.839985,13003.845572,41842.309572,2628414,0.015919,observed_response,selected_unique_component_after_hard_gate,214,0,17,0,637.387404,31ce1b65317fea5b1cb2a5b37afb8c2eb79416de625801d8e0ddef6da7df9c31,evaluate_only
OPEN_SILVER_0208_TO_0213,open_loop,C0,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0208,WGV35A_PAIR_0213,290,78,0,0,253.721373,13003.845572,13003.845572,2628414,0.004947,fixed_anchor_baseline,fixed_anchor_no_sar_response_read,,0,0,0,0,31ce1b65317fea5b1cb2a5b37afb8c2eb79416de625801d8e0ddef6da7df9c31,evaluate_only
OPEN_SILVER_0208_TO_0213,open_loop,C1,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0208,WGV35A_PAIR_0213,290,78,0,0,640.645778,13003.845572,38332.453572,2628414,0.014584,ambiguous_response,ambiguous_response,213,0,63,0,684.677179,31ce1b65317fea5b1cb2a5b37afb8c2eb79416de625801d8e0ddef6da7df9c31,evaluate_only
OPEN_SILVER_0208_TO_0213,open_loop,C2,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0208,WGV35A_PAIR_0213,290,78,0,0,437.366532,13003.845572,41842.309572,2628414,0.015919,ambiguous_response,ambiguous_response,214,0,19,0,678.490294,31ce1b65317fea5b1cb2a5b37afb8c2eb79416de625801d8e0ddef6da7df9c31,evaluate_only
