edge_id,sar_frame,source_atom_id,target_atom_id,support_boundary_gap_px,centroid_distance_px,radial_delta,azimuth_delta,orientation_delta,energy_ratio,role_compatibility,background_arc_conflict
R2E00141,60,R1A0058,R1A0063,185.321343,219.071285,209.441391,23.929041,14.48101,1.107114,true,false
R2E00142,60,R1A0059,R1A0060,0,54.682978,50.273063,9.998238,11.757649,1.452174,true,false
R2E00143,60,R1A0059,R1A0061,6,42.321633,37.124649,9.295225,59.196838,3.423093,true,false
R2E00144,60,R1A0059,R1A0062,8.485281,63.239614,18.12236,24.177112,14.883192,2.856012,true,false
R2E00145,60,R1A0059,R1A0063,42,79.799971,75.477554,13.686044,16.931543,12.261448,false,false
R2E00146,60,R1A0060,R1A0061,0,39.611169,13.148414,19.293463,70.954487,4.970928,true,false
R2E00147,60,R1A0060,R1A0062,36,77.499369,32.150703,34.17535,26.640841,4.147428,true,false
R2E00148,60,R1A0060,R1A0063,0,45.271023,25.204491,23.684282,5.173894,17.805761,false,false
R2E00149,60,R1A0061,R1A0062,12,38.046786,19.002289,14.881887,44.313646,1.198557,true,false
R2E00150,60,R1A0061,R1A0063,12,39.695212,38.352905,4.390819,76.128381,3.581979,false,false
R2E00151,60,R1A0062,R1A0063,16.970563,60.874149,57.355194,10.491068,31.814735,4.293205,false,false
R2E00152,77,R1A0064,R1A0065,18,100.544853,46.886139,24.373788,36.545061,17.901906,true,false
R2E00153,77,R1A0064,R1A0066,0,81.261368,6.247391,24.695413,88.778219,16.403184,true,false
R2E00154,77,R1A0064,R1A0067,6,55.565654,16.844391,17.369636,5.889773,12.914274,true,false
R2E00155,77,R1A0064,R1A0068,32.310989,127.966861,26.226929,36.428579,8.707275,45.108757,false,false
R2E00156,77,R1A0064,R1A0069,24,77.805141,69.312751,13.952855,31.179563,1.887474,true,false
R2E00157,77,R1A0065,R1A0066,6,40.719337,40.638748,0.321625,54.67672,1.091368,true,false
R2E00158,77,R1A0065,R1A0067,38.418745,68.396929,63.73053,7.004152,30.655288,1.386211,true,false
R2E00159,77,R1A0065,R1A0068,30,51.882273,20.65921,12.054791,45.252336,2.519774,false,false
R2E00160,77,R1A0065,R1A0069,55.317267,121.067278,116.19889,10.420933,67.724624,9.484585,true,false
R2E00161,77,R1A0066,R1A0067,6,32.79333,23.091782,7.325777,85.332008,1.270159,true,false
R2E00162,77,R1A0066,R1A0068,12,46.71382,19.979538,11.733166,80.070944,2.75,false,false
R2E00163,77,R1A0066,R1A0069,12,81.494582,75.560142,10.742558,57.598656,8.69055,true,false
R2E00164,77,R1A0067,R1A0068,42,77.026229,43.07132,19.058943,14.597048,3.492938,false,false
R2E00165,77,R1A0067,R1A0069,0,54.19775,52.46836,3.416781,37.069336,6.842095,true,false
R2E00166,77,R1A0068,R1A0069,48,114.489171,95.53968,22.475724,22.472288,23.899011,false,false
R2E00167,78,R1A0070,R1A0071,30,101.901298,48.98703,24.339802,38.293368,16.422211,true,false
R2E00168,78,R1A0070,R1A0072,6,81.419274,7.327622,24.617871,84.324313,20.164619,true,false
R2E00169,78,R1A0070,R1A0073,6,54.923964,16.484039,17.171004,7.002612,14.962625,true,false
R2E00170,78,R1A0070,R1A0074,18,72.809564,61.223556,15.448929,28.641789,2.427119,true,false
R2E00171,78,R1A0070,R1A0075,24,75.94936,29.878173,23.835057,20.256883,63.620155,false,false
R2E00172,78,R1A0070,R1A0076,66,110.102241,108.779449,12.320948,28.991224,29.830077,false,false
R2E00173,78,R1A0071,R1A0072,6,41.717539,41.659408,0.278069,57.382319,1.227887,true,false
R2E00174,78,R1A0071,R1A0073,38.418745,70.26673,65.471069,7.168798,31.290756,1.097549,true,false
R2E00175,78,R1A0071,R1A0074,55.317267,114.564616,110.210586,8.890873,9.651579,6.766133,true,false
R2E00176,78,R1A0071,R1A0075,55.317267,78.909814,78.865203,0.504745,18.036485,3.874031,false,false
R2E00177,78,R1A0071,R1A0076,118.793939,160.791975,157.766479,12.018854,9.302144,1.816447,false,false
R2E00178,78,R1A0072,R1A0073,6,33.6647,23.811661,7.446867,88.673075,1.347666,true,false
R2E00179,78,R1A0072,R1A0074,18,74.038208,68.551178,9.168942,67.033898,8.308047,true,false
R2E00180,78,R1A0072,R1A0075,13.416408,37.253166,37.205795,0.782814,75.418804,3.155039,false,false
R2E00181,78,R1A0072,R1A0076,76.837491,119.507888,116.107071,12.296923,66.684463,1.479328,false,false
R2E00182,78,R1A0073,R1A0074,0,46.026587,44.739517,1.722075,21.639177,6.164768,true,false
R2E00183,78,R1A0073,R1A0075,6,23.456237,13.394134,6.664053,13.254271,4.251938,false,false
R2E00184,78,R1A0073,R1A0076,51.264022,93.145677,92.29541,4.850056,21.988612,1.993639,false,false
R2E00185,78,R1A0074,R1A0075,0,38.557299,31.345383,8.386128,8.384906,26.212209,false,false
R2E00186,78,R1A0074,R1A0076,0,47.122895,47.555893,3.127981,0.349435,12.290323,false,false
R2E00187,78,R1A0075,R1A0076,46.861498,82.467928,78.901276,11.514109,8.734341,2.132752,true,false
R2E00188,79,R1A0077,R1A0078,0,97.406986,50.878647,22.246957,36.013492,21.155791,false,true
R2E00189,79,R1A0077,R1A0079,0,51.385445,13.894272,16.150569,1.936842,25.495085,false,true
R2E00190,79,R1A0077,R1A0080,0,68.822698,59.143158,14.372214,22.613292,2.810786,false,true
R2E00191,79,R1A0077,R1A0081,12,70.695795,29.178116,22.097482,6.804455,77.578265,false,true
R2E00192,79,R1A0077,R1A0082,60,123.02376,122.205101,15.726685,59.263599,78.045135,false,true
R2E00193,79,R1A0077,R1A0083,60,110.082156,110.762604,10.270774,11.387595,32.140025,false,true
R2E00194,79,R1A0078,R1A0079,42.426407,68.423129,64.772919,6.096388,37.950334,1.205111,true,false
R2E00195,79,R1A0078,R1A0080,55.317267,113.951554,110.021805,7.874743,13.4002,7.526645,true,false
R2E00196,79,R1A0078,R1A0081,61.773781,80.088004,80.056763,0.149475,29.209037,3.666999,false,false
R2E00197,79,R1A0078,R1A0082,162.111073,192.084522,173.083748,37.973642,84.722909,3.689067,false,false
R2E00198,79,R1A0078,R1A0083,132.136293,164.680011,161.641251,11.976183,24.625897,1.519207,true,false
R2E00199,79,R1A0079,R1A0080,0,46.732719,45.248886,1.778355,24.550134,9.070446,true,false
R2E00200,79,R1A0079,R1A0081,12,23.163742,15.283844,5.946913,8.741297,3.042871,false,false
R2E00201,79,R1A0079,R1A0082,89.196412,123.832194,108.310829,31.877254,57.326757,3.061184,false,false
R2E00202,79,R1A0079,R1A0083,64.621978,98.059583,96.868332,5.879795,13.324437,1.260636,true,false
R2E00203,79,R1A0080,R1A0081,0,36.829644,29.965042,7.725268,15.808837,27.600199,false,false
R2E00204,79,R1A0080,R1A0082,30.594117,78.681974,63.061943,30.098899,81.876891,27.766299,false,false
R2E00205,79,R1A0080,R1A0083,6,51.327805,51.619446,4.10144,11.225697,11.434531,true,false
R2E00206,79,R1A0081,R1A0082,88.588938,115.099905,93.026985,37.824167,66.068054,1.006018,true,false
R2E00207,79,R1A0081,R1A0083,55.317267,85.286623,81.584488,11.826708,4.58314,2.413759,false,false
R2E00208,79,R1A0082,R1A0083,6,34.708112,11.442497,25.997459,70.651194,2.428285,false,false
R2E00209,80,R1A0084,R1A0085,30,107.18708,52.928681,25.154293,47.267293,18.828855,false,true
R2E00210,80,R1A0084,R1A0086,6,88.09437,7.297593,26.642857,86.602482,18.24804,true,false
R2E00211,80,R1A0084,R1A0087,12,61.436089,12.044158,19.425503,8.319807,21.352367,true,false
R2E00212,80,R1A0084,R1A0088,43.680659,123.966886,28.592865,34.797253,49.347829,71.527255,false,false
R2E00213,80,R1A0084,R1A0089,18,74.284593,56.964019,18.287636,29.761703,2.150314,true,false
R2E00214,80,R1A0084,R1A0090,78,113.79477,113.883514,4.672014,2.578533,15.882702,true,false
R2E00215,80,R1A0085,R1A0086,18.973666,46.011093,45.631088,1.488564,46.130225,1.031829,false,true
R2E00216,80,R1A0085,R1A0087,42.426407,68.25978,64.972839,5.72879,38.947486,1.134024,false,true
R2E00217,80,R1A0085,R1A0088,30,45.869752,24.335816,9.64296,2.080536,3.798811,false,true
R2E00218,80,R1A0085,R1A0089,50.911688,113.056835,109.8927,6.866657,17.50559,8.756327,false,true
R2E00219,80,R1A0085,R1A0090,127.56175,174.769345,166.812195,20.482279,49.845826,1.185494,false,true
