response_box_id,core_subgraph_id,sar_frame,box_state,core_member_atom_ids,strong_optional_atom_ids,uncertain_optional_atom_ids,excluded_atom_ids,core_bbox,conservative_response_bbox,uncertain_envelope_bbox,center_x_px,center_y_px,center_x_m,center_y_m,range_m,azimuth_deg,metric_consistency_error_m,final_annotation_space
R21B00053,R21C00053,39,vehicle_response_box_possible,R21A00035;R21A00039,,R21A00038;R21A00040;R21A00041,R21A00036;R21A00037,"1084,1165,1192,1276","1084,1165,1192,1276","982,1141,1192,1276",1138,1220.5,-0.48,3.303,3.337695,-8.26848,0,sar_image_pixel_domain
R21B00054,R21C00054,39,vehicle_response_box_possible,R21A00035;R21A00040,,R21A00038;R21A00039;R21A00041,R21A00036;R21A00037,"1048,1165,1192,1276","1048,1165,1192,1276","982,1141,1192,1276",1120,1220.5,-1.02,3.303,3.456907,-17.16122,0,sar_image_pixel_domain
R21B00055,R21C00055,39,unresolved,R21A00039;R21A00040,,R21A00035;R21A00038;R21A00041,R21A00036;R21A00037,"1048,1207,1102,1231","1048,1207,1102,1231","982,1141,1192,1276",1075,1219,-2.37,3.348,4.101951,-35.294116,0,sar_image_pixel_domain
R21B00056,R21C00056,40,vehicle_response_box_possible,R21A00042,,R21A00043;R21A00044;R21A00045;R21A00046,,"1114,1171,1193,1261","1114,1171,1193,1261","994,1135,1193,1261",1153.5,1216,-0.015,3.438,3.438033,-0.24998,0,sar_image_pixel_domain
R21B00057,R21C00057,40,vehicle_part_box_only,R21A00043,,R21A00042;R21A00044;R21A00045;R21A00046,,"994,1135,1090,1159","994,1135,1090,1159","994,1135,1193,1261",1042,1147,-3.36,5.508,6.45195,-31.384101,0,sar_image_pixel_domain
R21B00058,R21C00058,40,unresolved,R21A00044,,R21A00042;R21A00043;R21A00045;R21A00046,,"1138,1135,1168,1153","1138,1135,1168,1153","994,1135,1193,1261",1153,1144,-0.03,5.598,5.59808,-0.307048,0,sar_image_pixel_domain
R21B00059,R21C00059,40,vehicle_response_box_possible,R21A00045,,R21A00042;R21A00043;R21A00044;R21A00046,,"1054,1207,1108,1237","1054,1207,1108,1237","994,1135,1193,1261",1081,1222,-2.19,3.258,3.925642,-33.90866,0,sar_image_pixel_domain
R21B00060,R21C00060,40,unresolved,R21A00046,,R21A00042;R21A00043;R21A00044;R21A00045,,"1090,1171,1114,1183","1090,1171,1114,1183","994,1135,1193,1261",1102,1177,-1.56,4.608,4.864901,-18.703102,0,sar_image_pixel_domain
R21B00061,R21C00061,40,unresolved,R21A00042;R21A00044,,R21A00043;R21A00045;R21A00046,,"1114,1135,1193,1261","1114,1135,1193,1261","994,1135,1193,1261",1153.5,1198,-0.015,3.978,3.978028,-0.216046,0,sar_image_pixel_domain
R21B00062,R21C00062,46,vehicle_response_box_possible,R21A00047,,,,"1030,1135,1193,1255","1030,1135,1193,1255","1030,1135,1193,1255",1111.5,1195,-1.275,4.068,4.263127,-17.40213,0,sar_image_pixel_domain
R21B00063,R21C00063,52,vehicle_part_box_only,R21A00048,,R21A00050;R21A00051,R21A00049,"1024,1135,1193,1189","1024,1135,1193,1189","1024,1135,1193,1207",1108.5,1162,-1.365,5.058,5.238949,-15.102607,0,sar_image_pixel_domain
R21B00064,R21C00064,52,unresolved,R21A00050,,R21A00048;R21A00051,R21A00049,"1180,1135,1193,1147","1180,1135,1193,1147","1024,1135,1193,1207",1186.5,1141,0.975,5.688,5.770959,9.72674,0,sar_image_pixel_domain
R21B00065,R21C00065,52,unresolved,R21A00051,,R21A00048;R21A00050,R21A00049,"1144,1201,1168,1207","1144,1201,1168,1207","1024,1135,1193,1207",1156,1204,0.06,3.798,3.798474,0.905071,0,sar_image_pixel_domain
