interval_id,physical_vehicle_id,method,direction,source_pair_id,target_pair_id,sar_frame,propagation_status,propagated_region,search_window,local_response_center,visible_response_coverage,masked_overlap_coverage,local_search_ratio,stop_reason
WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,P0,forward,WGV35A_PAIR_0205,WGV35A_PAIR_0206,54,PROPAGATED_WEAK,"990.094,1171.077,1154.017,1239.729","974.094,1159.077,1170.017,1251.729","1072.055,1205.403",,,0.006906,fixed_anchor_region
WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,P0,forward,WGV35A_PAIR_0205,WGV35A_PAIR_0206,55,PROPAGATED_WEAK,"990.094,1171.077,1154.017,1239.729","974.094,1159.077,1170.017,1251.729","1072.055,1205.403",,,0.006906,fixed_anchor_region
WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,P0,forward,WGV35A_PAIR_0205,WGV35A_PAIR_0206,56,PROPAGATED_WEAK,"990.094,1171.077,1154.017,1239.729","974.094,1159.077,1170.017,1251.729","1072.055,1205.403",,,0.006906,fixed_anchor_region
WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,P0,forward,WGV35A_PAIR_0205,WGV35A_PAIR_0206,57,PROPAGATED_WEAK,"990.094,1171.077,1154.017,1239.729","974.094,1159.077,1170.017,1251.729","1072.055,1205.403",,,0.006906,fixed_anchor_region
WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,P0,forward,WGV35A_PAIR_0205,WGV35A_PAIR_0206,58,PROPAGATED_WEAK,"990.094,1171.077,1154.017,1239.729","974.094,1159.077,1170.017,1251.729","1072.055,1205.403",,,0.006906,fixed_anchor_region
WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,P0,forward,WGV35A_PAIR_0205,WGV35A_PAIR_0206,59,PROPAGATED_WEAK,"990.094,1171.077,1154.017,1239.729","974.094,1159.077,1170.017,1251.729","1072.055,1205.403",,,0.006906,fixed_anchor_region
WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,P0,forward,WGV35A_PAIR_0205,WGV35A_PAIR_0206,60,PROPAGATED_WEAK,"990.094,1171.077,1154.017,1239.729","974.094,1159.077,1170.017,1251.729","1072.055,1205.403",,,0.006906,fixed_anchor_region
WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,P0,forward,WGV35A_PAIR_0205,WGV35A_PAIR_0206,61,PROPAGATED_WEAK,"990.094,1171.077,1154.017,1239.729","974.094,1159.077,1170.017,1251.729","1072.055,1205.403",,,0.006906,fixed_anchor_region
WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,P0,forward,WGV35A_PAIR_0205,WGV35A_PAIR_0206,62,PROPAGATED_WEAK,"990.094,1171.077,1154.017,1239.729","974.094,1159.077,1170.017,1251.729","1072.055,1205.403",,,0.006906,fixed_anchor_region
WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,P0,forward,WGV35A_PAIR_0205,WGV35A_PAIR_0206,63,PROPAGATED_WEAK,"990.094,1171.077,1154.017,1239.729","974.094,1159.077,1170.017,1251.729","1072.055,1205.403",,,0.006906,fixed_anchor_region
WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,P0,forward,WGV35A_PAIR_0205,WGV35A_PAIR_0206,64,PROPAGATED_WEAK,"990.094,1171.077,1154.017,1239.729","974.094,1159.077,1170.017,1251.729","1072.055,1205.403",,,0.006906,fixed_anchor_region
WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,P0,forward,WGV35A_PAIR_0205,WGV35A_PAIR_0206,65,PROPAGATED_WEAK,"990.094,1171.077,1154.017,1239.729","974.094,1159.077,1170.017,1251.729","1072.055,1205.403",,,0.006906,fixed_anchor_region
WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,P0,forward,WGV35A_PAIR_0205,WGV35A_PAIR_0206,66,PROPAGATED_WEAK,"990.094,1171.077,1154.017,1239.729","974.094,1159.077,1170.017,1251.729","1072.055,1205.403",,,0.006906,fixed_anchor_region
WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,P0,forward,WGV35A_PAIR_0205,WGV35A_PAIR_0206,67,PROPAGATED_WEAK,"990.094,1171.077,1154.017,1239.729","974.094,1159.077,1170.017,1251.729","1072.055,1205.403",,,0.006906,fixed_anchor_region
WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,P0,forward,WGV35A_PAIR_0205,WGV35A_PAIR_0206,68,PROPAGATED_WEAK,"990.094,1171.077,1154.017,1239.729","974.094,1159.077,1170.017,1251.729","1072.055,1205.403",,,0.006906,fixed_anchor_region
WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,P0,forward,WGV35A_PAIR_0205,WGV35A_PAIR_0206,69,PROPAGATED_WEAK,"990.094,1171.077,1154.017,1239.729","974.094,1159.077,1170.017,1251.729","1072.055,1205.403",,,0.006906,fixed_anchor_region
WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,P0,forward,WGV35A_PAIR_0205,WGV35A_PAIR_0206,70,PROPAGATED_WEAK,"990.094,1171.077,1154.017,1239.729","974.094,1159.077,1170.017,1251.729","1072.055,1205.403",,,0.006906,fixed_anchor_region
WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,P0,forward,WGV35A_PAIR_0205,WGV35A_PAIR_0206,71,PROPAGATED_WEAK,"990.094,1171.077,1154.017,1239.729","974.094,1159.077,1170.017,1251.729","1072.055,1205.403",,,0.006906,fixed_anchor_region
WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,P0,forward,WGV35A_PAIR_0205,WGV35A_PAIR_0206,72,PROPAGATED_WEAK,"990.094,1171.077,1154.017,1239.729","974.094,1159.077,1170.017,1251.729","1072.055,1205.403",,,0.006906,fixed_anchor_region
WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,P0,forward,WGV35A_PAIR_0205,WGV35A_PAIR_0206,73,PROPAGATED_WEAK,"990.094,1171.077,1154.017,1239.729","974.094,1159.077,1170.017,1251.729","1072.055,1205.403",,,0.006906,fixed_anchor_region
WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,P0,forward,WGV35A_PAIR_0205,WGV35A_PAIR_0206,74,PROPAGATED_WEAK,"990.094,1171.077,1154.017,1239.729","974.094,1159.077,1170.017,1251.729","1072.055,1205.403",,,0.006906,fixed_anchor_region
WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,P0,forward,WGV35A_PAIR_0205,WGV35A_PAIR_0206,75,PROPAGATED_WEAK,"990.094,1171.077,1154.017,1239.729","974.094,1159.077,1170.017,1251.729","1072.055,1205.403",,,0.006906,fixed_anchor_region
WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,P0,forward,WGV35A_PAIR_0205,WGV35A_PAIR_0206,76,PROPAGATED_WEAK,"990.094,1171.077,1154.017,1239.729","974.094,1159.077,1170.017,1251.729","1072.055,1205.403",,,0.006906,fixed_anchor_region
WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,P0,forward,WGV35A_PAIR_0205,WGV35A_PAIR_0206,77,PROPAGATED_WEAK,"990.094,1171.077,1154.017,1239.729","974.094,1159.077,1170.017,1251.729","1072.055,1205.403",0,0,0.006906,fixed_anchor_region
WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,P1,forward,WGV35A_PAIR_0205,WGV35A_PAIR_0206,31,PROPAGATED_CONFIDENT,"990.094,1171.077,1154.017,1239.729","962.094,1151.077,1182.017,1259.729","1072.055,1205.403",,,0.009091,optical_trend_region
WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,P1,forward,WGV35A_PAIR_0205,WGV35A_PAIR_0206,32,PROPAGATED_CONFIDENT,"994.321,1171.043,1158.360,1239.814","966.321,1151.043,1186.360,1259.814","1076.341,1205.429",,,0.009106,optical_trend_region
WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,P1,forward,WGV35A_PAIR_0205,WGV35A_PAIR_0206,33,PROPAGATED_CONFIDENT,"998.547,1171.010,1162.704,1239.899","970.547,1151.010,1190.704,1259.899","1080.626,1205.454",,,0.009121,optical_trend_region
WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,P1,forward,WGV35A_PAIR_0205,WGV35A_PAIR_0206,34,PROPAGATED_CONFIDENT,"1002.774,1170.976,1167.047,1239.984","974.774,1150.976,1195.047,1259.984","1084.911,1205.480",,,0.009135,optical_trend_region
WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,P1,forward,WGV35A_PAIR_0205,WGV35A_PAIR_0206,35,PROPAGATED_CONFIDENT,"1007.001,1170.942,1171.391,1240.069","979.001,1150.942,1199.391,1260.069","1089.196,1205.505",,,0.00915,optical_trend_region
WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,P1,forward,WGV35A_PAIR_0205,WGV35A_PAIR_0206,36,PROPAGATED_CONFIDENT,"1011.228,1170.909,1175.734,1240.153","983.228,1150.909,1203.734,1260.153","1093.481,1205.531",,,0.009165,optical_trend_region
