family_id,response_box_id,core_subgraph_id,sar_frame,member_relation_to_family,box_state,core_member_atom_ids,strong_optional_atom_ids,uncertain_optional_atom_ids,conservative_response_bbox,uncertain_envelope_bbox
R21R1F00045,R21B00063,R21C00063,52,exact_duplicate_bbox;nested_same_core_variant,vehicle_part_box_only,R21A00048,,R21A00050;R21A00051,"1024,1135,1193,1189","1024,1135,1193,1207"
R21R1F00045,R21B00064,R21C00064,52,nested_same_core_variant,unresolved,R21A00050,,R21A00048;R21A00051,"1180,1135,1193,1147","1024,1135,1193,1207"
R21R1F00045,R21B00066,R21C00066,52,exact_duplicate_bbox;nested_same_core_variant,unresolved,R21A00048;R21A00050,,R21A00051,"1024,1135,1193,1189","1024,1135,1193,1207"
R21R1F00046,R21B00065,R21C00065,52,single_member_family,unresolved,R21A00051,,R21A00048;R21A00050,"1144,1201,1168,1207","1024,1135,1193,1207"
R21R1F00047,R21B00067,R21C00067,60,single_member_family,vehicle_response_box_possible,R21A00053,,R21A00054,"1126,1207,1186,1243","1126,1207,1192,1267"
R21R1F00048,R21B00068,R21C00068,60,single_member_family,unresolved,R21A00054,,R21A00053,"1162,1249,1192,1267","1126,1207,1192,1267"
R21R1F00049,R21B00069,R21C00069,77,nested_same_core_variant,unresolved,R21A00055,,R21A00056;R21A00057;R21A00058;R21A00059;R21A00060,"1146,1133,1266,1163","1146,1133,1332,1271"
R21R1F00049,R21B00075,R21C00075,77,nested_same_core_variant,unresolved,R21A00055;R21A00056,,R21A00057;R21A00058;R21A00059;R21A00060,"1146,1133,1266,1271","1146,1133,1332,1271"
R21R1F00049,R21B00076,R21C00076,77,nested_same_core_variant,unresolved,R21A00055;R21A00057,,R21A00056;R21A00058;R21A00059;R21A00060,"1146,1133,1266,1187","1146,1133,1332,1271"
R21R1F00050,R21B00070,R21C00070,77,single_member_family,vehicle_response_box_possible,R21A00056,,R21A00055;R21A00057;R21A00058;R21A00060,"1146,1187,1248,1271","1146,1133,1332,1271"
R21R1F00051,R21B00071,R21C00071,77,single_member_family,vehicle_part_box_only,R21A00057,,R21A00055;R21A00056;R21A00058;R21A00059;R21A00060,"1224,1169,1254,1187","1146,1133,1332,1271"
R21R1F00052,R21B00072,R21C00072,77,single_member_family,unresolved,R21A00058,,R21A00055;R21A00056;R21A00057;R21A00059;R21A00060,"1260,1151,1284,1187","1146,1133,1332,1271"
R21R1F00053,R21B00073,R21C00073,77,single_member_family,unresolved,R21A00059,,R21A00055;R21A00057;R21A00058;R21A00060,"1284,1133,1302,1145","1146,1133,1332,1199"
R21R1F00054,R21B00074,R21C00074,77,single_member_family,unresolved,R21A00060,,R21A00055;R21A00056;R21A00057;R21A00058;R21A00059,"1296,1175,1332,1199","1146,1133,1332,1271"
R21R1F00055,R21B00077,R21C00077,78,high_iou_boundary_variant,vehicle_response_box_possible,R21A00062,,R21A00063;R21A00065;R21A00066;R21A00067,"1170,1187,1248,1271","1146,1175,1326,1271"
R21R1F00055,R21B00083,R21C00083,78,high_iou_boundary_variant,vehicle_response_box_possible,R21A00062;R21A00063,,R21A00064;R21A00065;R21A00066;R21A00067,"1170,1175,1260,1271","1146,1133,1326,1271"
R21R1F00056,R21B00078,R21C00078,78,single_member_family,vehicle_part_box_only,R21A00063,,R21A00062;R21A00064;R21A00065;R21A00067,"1224,1175,1260,1187","1170,1133,1326,1271"
R21R1F00057,R21B00079,R21C00079,78,single_member_family,unresolved,R21A00064,,R21A00063;R21A00065;R21A00067,"1290,1133,1308,1151","1224,1133,1326,1205"
R21R1F00058,R21B00080,R21C00080,78,single_member_family,unresolved,R21A00065,,R21A00062;R21A00063;R21A00064;R21A00067,"1302,1175,1326,1199","1170,1133,1326,1271"
R21R1F00059,R21B00081,R21C00081,78,single_member_family,unresolved,R21A00066,,R21A00062;R21A00067,"1146,1247,1164,1271","1146,1187,1254,1271"
R21R1F00060,R21B00082,R21C00082,78,single_member_family,unresolved,R21A00067,,R21A00062;R21A00063;R21A00064;R21A00065;R21A00066,"1242,1193,1254,1205","1146,1133,1326,1271"
R21R1F00061,R21B00084,R21C00084,79,nested_same_core_variant,vehicle_response_box_possible,R21A00069,,R21A00070;R21A00071;R21A00072;R21A00073;R21A00074,"1194,1187,1254,1241","1146,1133,1308,1271"
R21R1F00061,R21B00090,R21C00090,79,nested_same_core_variant,vehicle_response_box_possible,R21A00069;R21A00071,,R21A00070;R21A00072;R21A00073;R21A00074,"1194,1175,1260,1241","1146,1133,1308,1271"
R21R1F00062,R21B00085,R21C00085,79,single_member_family,unresolved,R21A00070,,R21A00069;R21A00071;R21A00073,"1290,1133,1308,1145","1194,1133,1308,1241"
R21R1F00063,R21B00086,R21C00086,79,single_member_family,vehicle_part_box_only,R21A00071,,R21A00069;R21A00070;R21A00072;R21A00073,"1230,1175,1260,1187","1170,1133,1308,1271"
R21R1F00064,R21B00087,R21C00087,79,nested_same_core_variant,unresolved,R21A00072,,R21A00069;R21A00071;R21A00073;R21A00074,"1170,1247,1206,1271","1146,1175,1260,1271"
