family_id,response_box_id,core_subgraph_id,sar_frame,member_relation_to_family,box_state,core_member_atom_ids,strong_optional_atom_ids,uncertain_optional_atom_ids,conservative_response_bbox,uncertain_envelope_bbox
R21R1F00064,R21B00091,R21C00091,79,nested_same_core_variant,unresolved,R21A00069;R21A00072,,R21A00070;R21A00071;R21A00073;R21A00074,"1170,1187,1254,1271","1146,1133,1308,1271"
R21R1F00065,R21B00088,R21C00088,79,single_member_family,unresolved,R21A00073,,R21A00069;R21A00070;R21A00071;R21A00072,"1242,1199,1260,1205","1170,1133,1308,1271"
R21R1F00066,R21B00089,R21C00089,79,single_member_family,unresolved,R21A00074,,R21A00069;R21A00072,"1146,1247,1164,1271","1146,1187,1254,1271"
R21R1F00067,R21B00092,R21C00092,80,nested_same_core_variant,vehicle_part_box_only,R21A00075,,R21A00076;R21A00077;R21A00078;R21A00080;R21A00081,"1146,1133,1266,1163","1146,1133,1326,1271"
R21R1F00067,R21B00098,R21C00098,80,high_iou_boundary_variant;nested_same_core_variant,vehicle_response_box_possible,R21A00075;R21A00076,,R21A00077;R21A00078;R21A00080;R21A00081,"1146,1133,1266,1241","1146,1133,1326,1271"
R21R1F00067,R21B00099,R21C00099,80,high_iou_boundary_variant;nested_same_core_variant,unresolved,R21A00075;R21A00077,,R21A00076;R21A00078;R21A00080;R21A00081,"1146,1133,1266,1271","1146,1133,1326,1271"
R21R1F00068,R21B00093,R21C00093,80,single_member_family,vehicle_response_box_possible,R21A00076,,R21A00075;R21A00077;R21A00078;R21A00080;R21A00081,"1200,1181,1260,1241","1146,1133,1326,1271"
R21R1F00069,R21B00094,R21C00094,80,single_member_family,vehicle_part_box_only,R21A00077,,R21A00075;R21A00076;R21A00080,"1146,1241,1212,1271","1146,1133,1266,1271"
R21R1F00070,R21B00095,R21C00095,80,single_member_family,unresolved,R21A00078,,R21A00075;R21A00076;R21A00080;R21A00081,"1272,1163,1290,1187","1146,1133,1326,1241"
R21R1F00071,R21B00096,R21C00096,80,single_member_family,vehicle_part_box_only,R21A00080,,R21A00075;R21A00076;R21A00077;R21A00078;R21A00081,"1236,1175,1266,1187","1146,1133,1326,1271"
R21R1F00072,R21B00097,R21C00097,80,single_member_family,unresolved,R21A00081,,R21A00075;R21A00076;R21A00078;R21A00080,"1308,1175,1326,1199","1146,1133,1326,1241"
R21R1F00073,R21B00100,R21C00100,81,nested_same_core_variant,vehicle_response_box_possible,R21A00083,,R21A00084;R21A00085;R21A00086,"1200,1181,1260,1241","1176,1133,1314,1271"
R21R1F00073,R21B00104,R21C00104,81,nested_same_core_variant,unresolved,R21A00083;R21A00085,,R21A00084;R21A00086,"1176,1181,1260,1271","1176,1133,1314,1271"
R21R1F00074,R21B00101,R21C00101,81,single_member_family,unresolved,R21A00084,,R21A00083;R21A00086,"1302,1133,1314,1145","1200,1133,1314,1241"
R21R1F00075,R21B00102,R21C00102,81,single_member_family,unresolved,R21A00085,,R21A00083;R21A00086,"1176,1241,1212,1271","1176,1175,1272,1271"
R21R1F00076,R21B00103,R21C00103,81,single_member_family,unresolved,R21A00086,,R21A00083;R21A00084;R21A00085,"1242,1175,1272,1187","1176,1133,1314,1271"
R21R1F00077,R21B00105,R21C00105,212,exact_duplicate_bbox;nested_same_core_variant,unresolved,R21A00087,,R21A00088,"957,1126,1132,1240","957,1126,1132,1240"
R21R1F00077,R21B00106,R21C00106,212,nested_same_core_variant,vehicle_part_box_only,R21A00088,,R21A00087,"1005,1210,1023,1240","957,1126,1132,1240"
R21R1F00077,R21B00107,R21C00107,212,exact_duplicate_bbox;nested_same_core_variant,unresolved,R21A00087;R21A00088,,,"957,1126,1132,1240","957,1126,1132,1240"
R21R1F00078,R21B00108,R21C00108,213,high_iou_boundary_variant,unresolved,R21A00089,,R21A00090;R21A00091,"981,1126,1132,1240","963,1126,1132,1246"
R21R1F00078,R21B00111,R21C00111,213,high_iou_boundary_variant,unresolved,R21A00089;R21A00091,,R21A00090,"981,1126,1132,1246","963,1126,1132,1246"
R21R1F00079,R21B00109,R21C00109,213,single_member_family,unresolved,R21A00090,,R21A00089;R21A00091,"963,1150,987,1180","963,1126,1132,1246"
R21R1F00080,R21B00110,R21C00110,213,single_member_family,vehicle_part_box_only,R21A00091,,R21A00089;R21A00090,"1005,1210,1023,1246","963,1126,1132,1246"
R21R1F00081,R21B00112,R21C00112,216,exact_duplicate_bbox;nested_same_core_variant,unresolved,R21A00092,,R21A00093,"975,1126,1131,1240","975,1126,1131,1240"
R21R1F00081,R21B00113,R21C00113,216,nested_same_core_variant,vehicle_part_box_only,R21A00093,,R21A00092,"1017,1216,1035,1240","975,1126,1131,1240"
R21R1F00081,R21B00114,R21C00114,216,exact_duplicate_bbox;nested_same_core_variant,unresolved,R21A00092;R21A00093,,,"975,1126,1131,1240","975,1126,1131,1240"
R21R1F00082,R21B00115,R21C00115,220,single_member_family,unresolved,R21A00094,,R21A00095,"1011,1126,1132,1240","993,1126,1132,1240"
