core_subgraph_id,sar_frame,atom_id,candidate_role,membership_decision,boundary_distance_to_core_px,centroid_distance_to_core_px,shares_persistent_track,compatible_part_relation,background_arc_conflict,bbox_blank_ratio_if_included,decision_reason
R2C0062,281,R1A0183,side_ridge_candidate,exclude_from_bbox,72,94.956711,false,true,false,0.591707,too_far_or_would_expand_blank_area
R2C0062,281,R1A0185,endpoint_hotspot_candidate,include_in_bbox,6,30.681503,false,true,false,0.025926,near_core_compatible_optional_response
R2C0063,281,R1A0182,isolated_small_atom,include_in_bbox,0,85.837078,false,true,false,0.104242,near_core_compatible_optional_response
R2C0063,281,R1A0183,side_ridge_candidate,include_in_bbox,0,64.989687,false,true,false,0.013834,near_core_compatible_optional_response
R2C0064,281,R1A0181,unresolved_atom,include_in_bbox,0,47.920206,false,true,false,0,near_core_compatible_optional_response
R2C0064,281,R1A0182,isolated_small_atom,uncertain_bbox_membership,48,83.442369,false,true,false,0.825926,near_but_not_decisive_optional_response
R2C0064,281,R1A0184,body_core_candidate,include_in_bbox,6,60.49645,false,true,false,0.499203,near_core_compatible_optional_response
R2C0065,284,R1A0186,unresolved_atom,include_in_bbox,0,59.401519,false,true,false,0.151111,near_core_compatible_optional_response
R2C0065,284,R1A0187,isolated_small_atom,exclude_from_bbox,85.276022,134.046427,false,true,false,0.835498,too_far_or_would_expand_blank_area
R2C0065,284,R1A0188,isolated_small_atom,exclude_from_bbox,84,126.456598,false,true,false,0.783476,too_far_or_would_expand_blank_area
R2C0065,284,R1A0190,isolated_small_atom,uncertain_bbox_membership,42,83.308622,false,true,false,0.617225,near_but_not_decisive_optional_response
R2C0066,284,R1A0187,isolated_small_atom,include_in_bbox,6,101.493076,false,true,false,0.205173,near_core_compatible_optional_response
R2C0066,284,R1A0188,isolated_small_atom,uncertain_bbox_membership,24,105.55222,false,true,false,0.329365,near_but_not_decisive_optional_response
R2C0066,284,R1A0190,isolated_small_atom,include_in_bbox,0,66.12525,false,true,false,0.133968,near_core_compatible_optional_response
R2C0067,288,R1A0191,unresolved_atom,include_in_bbox,0,48.193972,false,true,false,0.071895,near_core_compatible_optional_response
R2C0067,288,R1A0193,isolated_small_atom,include_in_bbox,6,33.85684,false,true,false,0,near_core_compatible_optional_response
R2C0067,288,R1A0194,isolated_small_atom,include_in_bbox,6,51.286044,false,true,false,0.458689,near_core_compatible_optional_response
R2C0068,288,R1A0193,isolated_small_atom,include_in_bbox,0,48.20896,false,true,false,0.04793,near_core_compatible_optional_response
R2C0068,288,R1A0194,isolated_small_atom,include_in_bbox,6,82.160509,false,true,false,0.270483,near_core_compatible_optional_response
R2C0069,289,R1A0195,unresolved_atom,include_in_bbox,0,58.234803,false,true,false,0.016703,near_core_compatible_optional_response
R2C0069,289,R1A0196,isolated_small_atom,exclude_from_bbox,113.207774,147.559972,false,true,false,0.848039,too_far_or_would_expand_blank_area
R2C0069,289,R1A0198,isolated_small_atom,include_in_bbox,18,34.184043,false,true,false,0,near_core_compatible_optional_response
R2C0069,289,R1A0199,side_ridge_candidate,include_in_bbox,6,45.245952,false,true,false,0.441026,near_core_compatible_optional_response
R2C0070,289,R1A0196,isolated_small_atom,include_in_bbox,12,123.565551,false,true,false,0.348944,near_core_compatible_optional_response
R2C0070,289,R1A0198,isolated_small_atom,include_in_bbox,0,36.067084,false,true,false,0.201459,near_core_compatible_optional_response
R2C0071,290,R1A0200,unresolved_atom,include_in_bbox,18,112.046038,false,true,false,0.340278,near_core_compatible_optional_response
R2C0071,290,R1A0201,unresolved_atom,include_in_bbox,6,56.775727,false,true,false,0.644444,near_core_compatible_optional_response
