frame_a,frame_b,pair_type,time_delta_frames,aspect_delta_deg,corrected_range_delta_m,axis_pair_reliable,registration_pair_reliable,frame_a_axis_reliability,frame_b_axis_reliability,used_for_identifiability
353,389,non_adjacent_similar_aspect,36,0.409296,0.036443,true,true,HIGH,MEDIUM,true
353,390,non_adjacent_similar_aspect,37,0.885943,0.130806,true,true,HIGH,MEDIUM,true
353,391,non_adjacent_similar_aspect,38,0.529058,0.098101,true,true,HIGH,MEDIUM,true
353,392,non_adjacent_similar_aspect,39,0.558489,0.310296,true,true,HIGH,MEDIUM,true
353,393,non_adjacent_similar_aspect,40,1.242816,0.359434,true,true,HIGH,MEDIUM,true
353,394,non_adjacent_similar_aspect,41,2.224002,0.273396,true,true,HIGH,MEDIUM,true
354,363,different_aspect_similar_range,9,11.915447,0.243864,true,true,HIGH,HIGH,true
354,364,different_aspect_similar_range,10,12.856971,0.319478,true,true,HIGH,HIGH,true
354,365,different_aspect_similar_range,11,12.382365,0.345797,true,true,HIGH,HIGH,true
354,366,different_aspect_similar_range,12,14.774707,0.383861,true,true,HIGH,HIGH,true
354,367,different_aspect_similar_range,13,13.932226,0.430981,true,true,HIGH,HIGH,true
354,368,different_aspect_similar_range,14,14.610337,0.422344,true,true,HIGH,MEDIUM,true
354,369,different_aspect_similar_range,15,14.521961,0.401932,true,true,HIGH,MEDIUM,true
354,370,different_aspect_similar_range;similar_range_different_aspect,16,15.431726,0.464256,true,true,HIGH,MEDIUM,true
354,371,different_aspect_similar_range;similar_range_different_aspect,17,15.687202,0.459053,true,true,HIGH,MEDIUM,true
354,372,different_aspect_similar_range;similar_range_different_aspect,18,18.047523,0.383512,true,true,HIGH,MEDIUM,true
354,373,different_aspect_similar_range;similar_range_different_aspect,19,16.941019,0.435079,true,true,HIGH,MEDIUM,true
354,374,different_aspect_similar_range;similar_range_different_aspect,20,15.166464,0.441271,true,true,HIGH,MEDIUM,true
354,375,different_aspect_similar_range,21,14.557794,0.521767,true,true,HIGH,MEDIUM,true
354,376,different_aspect_similar_range,22,14.807783,0.48427,true,true,HIGH,MEDIUM,true
354,377,different_aspect_similar_range,23,10.931682,0.377327,true,true,HIGH,MEDIUM,true
354,378,different_aspect_similar_range,24,11.384847,0.443192,true,true,HIGH,MEDIUM,true
354,383,non_adjacent_similar_aspect,29,2.070845,0.113635,true,true,HIGH,MEDIUM,true
354,384,non_adjacent_similar_aspect,30,3.998383,0.170248,true,true,HIGH,MEDIUM,true
354,385,non_adjacent_similar_aspect,31,1.569676,0.011587,true,true,HIGH,MEDIUM,true
354,386,non_adjacent_similar_aspect,32,1.992319,0.000285,true,true,HIGH,MEDIUM,true
354,387,non_adjacent_similar_aspect,33,2.582987,0.010732,true,true,HIGH,MEDIUM,true
354,389,non_adjacent_similar_aspect,35,0.708478,0.116866,true,true,HIGH,MEDIUM,true
354,390,non_adjacent_similar_aspect,36,0.231831,0.211229,true,true,HIGH,MEDIUM,true
354,391,non_adjacent_similar_aspect,37,0.588716,0.178524,true,true,HIGH,MEDIUM,true
354,392,non_adjacent_similar_aspect,38,0.559285,0.390719,true,true,HIGH,MEDIUM,true
354,393,non_adjacent_similar_aspect,39,0.125042,0.439857,true,true,HIGH,MEDIUM,true
354,394,non_adjacent_similar_aspect,40,1.106228,0.353819,true,true,HIGH,MEDIUM,true
355,363,different_aspect_similar_range,8,10.085222,0.27833,true,true,HIGH,HIGH,true
355,364,different_aspect_similar_range,9,11.026746,0.353944,true,true,HIGH,HIGH,true
355,365,different_aspect_similar_range,10,10.55214,0.380263,true,true,HIGH,HIGH,true
355,366,different_aspect_similar_range,11,12.944482,0.418327,true,true,HIGH,HIGH,true
355,367,different_aspect_similar_range,12,12.102001,0.465447,true,true,HIGH,HIGH,true
355,368,different_aspect_similar_range,13,12.780112,0.45681,true,true,HIGH,MEDIUM,true
355,369,different_aspect_similar_range,14,12.691736,0.436398,true,true,HIGH,MEDIUM,true
355,370,different_aspect_similar_range,15,13.601501,0.498722,true,true,HIGH,MEDIUM,true
