family_id,sar_frame,member_box_a,member_box_b,bbox_iou,center_distance_px,core_overlap_ratio,core_subset_relation,relation_type,pairwise_valid,invalid_reason,would_single_link_component,empty_optional_equality_seen
R21R1F00106,260,R21B00150,R21B00154,0.588235,21,1,a_subset_b,nested_same_core_variant,true,,SL000260_001,true
R21R1F00106,260,R21B00150,R21B00156,0.5,30,1,a_subset_b,nested_same_core_variant,true,,SL000260_001,true
R21R1F00106,260,R21B00153,R21B00154,0.85,9,0.5,overlap,high_iou_boundary_variant,true,,SL000260_001,true
R21R1F00106,260,R21B00153,R21B00156,1,0,1,a_subset_b,exact_duplicate_bbox,true,,SL000260_001,true
R21R1F00106,260,R21B00154,R21B00156,0.85,9,1,a_subset_b,high_iou_boundary_variant,true,,SL000260_001,true
R21R1F00107,260,R21B00151,R21B00155,0.712871,14.5,1,a_subset_b,nested_same_core_variant,true,,SL000260_001,true
R21R1F00108,260,R21B00152,R21B00152,1,0,1,equal,single_member_family,true,,SL000260_001,false
R21R1F00109,262,R21B00157,R21B00157,1,0,1,equal,single_member_family,true,,SL000262_001,false
R21R1F00110,263,R21B00158,R21B00158,1,0,1,equal,single_member_family,true,,SL000263_001,false
R21R1F00111,269,R21B00159,R21B00161,0.057971,64.621978,0,none,nested_same_core_variant,true,,SL000269_001,true
R21R1F00111,269,R21B00159,R21B00165,0.9,6,1,a_subset_b,high_iou_boundary_variant,true,,SL000269_001,true
R21R1F00111,269,R21B00159,R21B00166,1,0,1,a_subset_b,exact_duplicate_bbox,true,,SL000269_001,true
R21R1F00111,269,R21B00161,R21B00165,0.052174,62.641839,0,none,nested_same_core_variant,true,,SL000269_001,true
R21R1F00111,269,R21B00161,R21B00166,0.057971,64.621978,1,a_subset_b,nested_same_core_variant,true,,SL000269_001,true
R21R1F00111,269,R21B00165,R21B00166,0.9,6,0.5,overlap,high_iou_boundary_variant,true,,SL000269_001,true
R21R1F00112,269,R21B00160,R21B00160,1,0,1,equal,single_member_family,true,,SL000269_001,false
R21R1F00113,269,R21B00162,R21B00162,1,0,1,equal,single_member_family,true,,SL000269_002,false
R21R1F00114,269,R21B00163,R21B00163,1,0,1,equal,single_member_family,true,,SL000269_003,false
