pair_id,sar_frame,timestamp_or_sequence_index,split,physical_vehicle_id,center_x,center_y,body_width_px,body_height_px,body_length_m_grid,body_width_m_grid,motion_tangent_image_deg,motion_tangent_uncertainty_deg,body_axis_proxy_deg,body_axis_proxy_source,body_axis_proxy_uncertainty_deg,local_range_axis_image_deg,relative_aspect_angle_deg,aspect_domain_status,aspect_observability_status,absolute_range_from_radar_m,absolute_azimuth_deg,gt_visible_fraction,gt_mask_contact_ratio,gt_boundary_contact_ratio,mask_observability_status,planned_anchor_class,plan_stage_input_role
WGV35A_PAIR_0087,354,354,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1040.45,944.803,158.83115,69.254939,4.764934,2.077648,0.331072,4.694403,1.966074,E0_R2_two_sided_trajectory_body_axis_proxy,1.219052,73.599485,71.633411,IN_CALIBRATION_ASPECT_DOMAIN,OBSERVABLE_HIGH,12.06481,-106.400515,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,geometry_identity_mask_metadata_aspect_proxy_only
WGV35A_PAIR_0090,355,355,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1045.6575,942.1155,158.83115,69.254939,4.764934,2.077648,-0.698836,3.153333,0.953375,E0_R2_two_sided_trajectory_body_axis_proxy,1.10774,74.417011,73.463636,IN_CALIBRATION_ASPECT_DOMAIN,OBSERVABLE_HIGH,12.099276,-105.582989,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,geometry_identity_mask_metadata_aspect_proxy_only
WGV35A_PAIR_0094,356,356,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1052.196,942.44,158.83115,69.254939,4.764934,2.077648,-1.300931,1.301754,0.34667,E0_R2_two_sided_trajectory_body_axis_proxy,0.997773,75.303849,74.957179,IN_CALIBRATION_ASPECT_DOMAIN,OBSERVABLE_HIGH,12.038647,-104.696151,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,geometry_identity_mask_metadata_aspect_proxy_only
WGV35A_PAIR_0097,357,357,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1063.929,940.219,158.83115,69.254939,4.764934,2.077648,-1.256327,0.461502,179.804833,E0_R2_two_sided_trajectory_body_axis_proxy,0.969728,77.007741,77.202908,IN_CALIBRATION_ASPECT_DOMAIN,OBSERVABLE_HIGH,12.019114,-102.992259,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,geometry_identity_mask_metadata_aspect_proxy_only
WGV35A_PAIR_0100,358,358,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1069.6455,943.937,158.83115,69.254939,4.764934,2.077648,-1.020184,0.7615,179.75846,E0_R2_two_sided_trajectory_body_axis_proxy,0.756761,77.693163,77.934703,IN_CALIBRATION_ASPECT_DOMAIN,OBSERVABLE_HIGH,11.872723,-102.306837,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,geometry_identity_mask_metadata_aspect_proxy_only
WGV35A_PAIR_0103,359,359,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1072.523,943.8065,158.83115,69.254939,4.764934,2.077648,-1.132839,0.113307,179.808134,E0_R2_two_sided_trajectory_body_axis_proxy,1.075786,78.104705,78.296571,IN_CALIBRATION_ASPECT_DOMAIN,OBSERVABLE_HIGH,11.858454,-101.895295,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,geometry_identity_mask_metadata_aspect_proxy_only
WGV35A_PAIR_0106,360,360,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1081.56,941.827,158.83115,69.254939,4.764934,2.077648,-1.299735,2.037772,179.276695,E0_R2_two_sided_trajectory_body_axis_proxy,0.821327,79.445128,80.168433,IN_CALIBRATION_ASPECT_DOMAIN,OBSERVABLE_HIGH,11.863928,-100.554872,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,geometry_identity_mask_metadata_aspect_proxy_only
WGV35A_PAIR_0109,361,361,guard,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1090.856,942.248,158.83115,69.254939,4.764934,2.077648,-0.68505,0.944671,179.292442,E0_R2_two_sided_trajectory_body_axis_proxy,0.500225,80.764824,81.472382,OUT_OF_CALIBRATION_ASPECT_DOMAIN,OBSERVABLE_HIGH,11.803559,-99.235176,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,B_MASK_OR_DOMAIN_TRANSITION_RESERVED,geometry_identity_mask_metadata_aspect_proxy_only
WGV35A_PAIR_0112,362,362,guard,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1092.105,942.314,158.83115,69.254939,4.764934,2.077648,-0.103412,0.90337,179.317229,E0_R2_two_sided_trajectory_body_axis_proxy,0.496847,80.942927,81.625698,OUT_OF_CALIBRATION_ASPECT_DOMAIN,OBSERVABLE_MEDIUM,11.795648,-99.057073,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,B_MASK_OR_DOMAIN_TRANSITION_RESERVED,geometry_identity_mask_metadata_aspect_proxy_only
WGV35A_PAIR_0115,363,363,guard,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1107.7095,939.297,158.83115,69.254939,4.764934,2.077648,0.564499,1.846263,179.704501,E0_R2_two_sided_trajectory_body_axis_proxy,0.591604,83.253359,83.548858,OUT_OF_CALIBRATION_ASPECT_DOMAIN,OBSERVABLE_MEDIUM,11.820946,-96.746641,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,B_MASK_OR_DOMAIN_TRANSITION_RESERVED,geometry_identity_mask_metadata_aspect_proxy_only
