edge_id,sar_frame,source_atom_id,target_atom_id,support_boundary_gap_px,centroid_distance_px,radial_delta,azimuth_delta,orientation_delta,energy_ratio,role_relation,shared_or_compatible_lineage,background_conflict,edge_status
R21GE00056,34,R21A00028,R21A00034,66,123.569144,88.812119,28.506795,50.997753,29.871471,unresolved_local_response,true,false,ambiguous_relation
R21GE00057,34,R21A00029,R21A00030,67.882251,113.361615,112.801834,3.314224,16.755761,1.343232,side_to_endpoint,true,false,ambiguous_relation
R21GE00058,34,R21A00029,R21A00031,78,104.86248,54.039993,31.578592,18.074277,1.495538,unresolved_local_response,true,false,blocked_by_geometry
R21GE00059,34,R21A00029,R21A00032,6,31.741208,18.113304,11.405144,57.190684,1.895373,endpoint_to_endpoint,true,false,accepted_local_relation
R21GE00060,34,R21A00029,R21A00033,30,59.667718,23.22818,20.857378,64.916433,1.907633,unresolved_local_response,true,false,accepted_local_relation
R21GE00061,34,R21A00029,R21A00034,60,85.544011,80.297836,9.4842,37.409014,2.738856,unresolved_local_response,true,false,ambiguous_relation
R21GE00062,34,R21A00030,R21A00031,114.157786,145.159938,58.761841,34.892817,34.830038,1.113387,unresolved_local_response,true,false,blocked_by_geometry
R21GE00063,34,R21A00030,R21A00032,102,138.411764,130.915138,14.719368,40.434923,1.411054,side_to_endpoint,true,false,blocked_by_geometry
R21GE00064,34,R21A00030,R21A00033,84,123.647145,89.573654,24.171602,48.160672,1.420181,unresolved_local_response,true,false,blocked_by_geometry
R21GE00065,34,R21A00030,R21A00034,30,61.856476,32.503998,12.798424,20.653253,2.039004,unresolved_local_response,true,false,accepted_local_relation
R21GE00066,34,R21A00031,R21A00032,72,90.016666,72.153297,20.173449,75.264961,1.267352,unresolved_local_response,true,false,blocked_by_geometry
R21GE00067,34,R21A00031,R21A00033,18,45.274435,30.811813,10.721214,82.99071,1.27555,role_ambiguous,false,false,blocked_by_role
R21GE00068,34,R21A00031,R21A00034,60,83.389614,26.257843,22.094393,55.48329,1.831352,role_ambiguous,false,false,blocked_by_role
R21GE00069,34,R21A00032,R21A00033,30,47.385139,41.341484,9.452234,7.725749,1.006468,unresolved_local_response,true,false,accepted_local_relation
R21GE00070,34,R21A00032,R21A00034,69.971423,98.571924,98.41114,1.920944,19.781671,1.445022,unresolved_local_response,true,false,blocked_by_geometry
R21GE00071,34,R21A00033,R21A00034,30.594117,68.453465,57.069656,11.373178,27.50742,1.435736,role_ambiguous,false,false,blocked_by_role
R21GE00072,39,R21A00035,R21A00036,24.738634,117.286992,94.229141,25.639614,59.547168,6.950966,background_conflict_relation,false,true,blocked_by_background
R21GE00073,39,R21A00035,R21A00037,18,78.804168,77.614243,2.378954,89.801548,7.453144,background_conflict_relation,false,true,blocked_by_background
R21GE00074,39,R21A00035,R21A00038,78.917679,158.765786,118.254883,37.407595,88.438733,14.268103,body_to_side,true,false,blocked_by_geometry
R21GE00075,39,R21A00035,R21A00039,6,62.627796,7.630379,30.34136,60.805574,20.38195,body_to_endpoint,true,false,accepted_local_relation
R21GE00076,39,R21A00035,R21A00040,30,88.949466,28.252274,38.226473,78.071123,28.891862,body_to_endpoint,true,false,accepted_local_relation
R21GE00077,39,R21A00035,R21A00041,0,69.229792,47.061935,21.061266,86.500728,34.313017,role_ambiguous,false,false,blocked_by_role
R21GE00078,39,R21A00036,R21A00037,48,82.638912,16.614899,23.26066,30.254381,1.072246,background_conflict_relation,false,true,ambiguous_relation
R21GE00079,39,R21A00036,R21A00038,12,51.452417,24.025742,11.767981,28.891565,2.052679,background_conflict_relation,false,true,blocked_by_background
R21GE00080,39,R21A00036,R21A00039,54,87.445293,86.598763,4.701746,1.258406,2.932247,background_conflict_relation,false,true,ambiguous_relation
R21GE00081,39,R21A00036,R21A00040,48,76.176951,65.976868,12.586859,42.38171,4.156525,background_conflict_relation,false,true,ambiguous_relation
R21GE00082,39,R21A00036,R21A00041,12,49.292872,47.167206,4.578348,33.952105,4.936439,background_conflict_relation,false,true,blocked_by_background
R21GE00083,39,R21A00037,R21A00038,102,134.086182,40.64064,35.028641,1.362816,1.914374,background_conflict_relation,false,true,ambiguous_relation
R21GE00084,39,R21A00037,R21A00039,72.498276,102.055143,69.983864,27.962406,28.995975,2.734678,background_conflict_relation,false,true,ambiguous_relation
R21GE00085,39,R21A00037,R21A00040,80.721744,113.807739,49.361969,35.847519,12.127329,3.876466,background_conflict_relation,false,true,ambiguous_relation
R21GE00086,39,R21A00037,R21A00041,30,65.10424,30.552307,18.682312,3.697724,4.603831,background_conflict_relation,false,true,ambiguous_relation
R21GE00087,39,R21A00038,R21A00039,80.721744,112.544327,110.624504,7.066235,27.633159,1.428498,side_to_endpoint,true,false,blocked_by_geometry
R21GE00088,39,R21A00038,R21A00040,56.920998,90.054567,90.002609,0.818878,13.490145,2.024927,side_to_endpoint,true,false,ambiguous_relation
R21GE00089,39,R21A00038,R21A00041,56.920998,90.168997,71.192947,16.346329,5.06054,2.404876,role_ambiguous,false,false,blocked_by_role
R21GE00090,39,R21A00039,R21A00040,6,27.620686,20.621895,7.885113,41.123304,1.417522,endpoint_to_endpoint,true,false,accepted_local_relation
