independent_geometry_id,scene,sar_frame,member_sar_frames,conservative_bbox,core_bbox,member_response_unit_count,member_response_unit_ids,representative_response_unit_id,measured_once_then_mapped_to_members
GM019IG0060,GM_RM019,263,263,"1069,1135,1218,1261","1069,1135,1218,1261",1,R21B00158,R21B00158,true
GM019IG0061,GM_RM019,32,32,"1072,1135,1192,1249","1072,1135,1192,1249",1,R21B00038,R21B00038,true
GM019IG0062,GM_RM019,32,32,"1072,1159,1096,1189","1072,1159,1096,1189",1,R21B00033,R21B00033,true
GM019IG0063,GM_RM019,34,34,"1072,1165,1102,1189","1072,1165,1102,1189",1,R21B00045,R21B00045,true
GM019IG0064,GM_RM019,32,32,"1072,1219,1090,1237","1072,1219,1090,1237",1,R21B00036,R21B00036,true
GM019IG0065,GM_RM019,260,260,"1075,1135,1218,1195","1075,1135,1218,1195",1,R21B00150,R21B00150,true
GM019IG0066,GM_RM019,260,260,"1075,1135,1218,1237","1075,1135,1218,1237",1,R21B00154,R21B00154,true
GM019IG0067,GM_RM019,260,260,"1075,1135,1218,1255","1075,1135,1218,1255",2,R21B00153;R21B00156,R21B00153,true
GM019IG0068,GM_RM019,262,262,"1075,1135,1218,1267","1075,1135,1218,1267",1,R21B00157,R21B00157,true
GM019IG0069,GM_RM019,243,243,"1075,1231,1087,1243","1075,1231,1087,1243",1,R21B00138,R21B00138,true
GM019IG0070,GM_RM019,34,34,"1078,1219,1102,1237","1078,1219,1102,1237",1,R21B00044,R21B00044,true
GM019IG0071,GM_RM019,27,27,"1084,1131,1108,1149","1084,1131,1108,1149",1,R21B00003,R21B00003,true
GM019IG0072,GM_RM019,28,28,"1084,1131,1114,1149","1084,1131,1114,1149",1,R21B00009,R21B00009,true
GM019IG0073,GM_RM019,39,39,"1084,1165,1192,1276","1084,1165,1192,1276",1,R21B00053,R21B00053,true
GM019IG0074,GM_RM019,39,39,"1084,1171,1114,1183","1084,1171,1114,1183",1,R21B00052,R21B00052,true
GM019IG0075,GM_RM019,39,39,"1084,1213,1102,1231","1084,1213,1102,1231",1,R21B00050,R21B00050,true
GM019IG0076,GM_RM019,239,239,"1087,1201,1111,1237","1087,1201,1111,1237",1,R21B00135,R21B00135,true
GM019IG0077,GM_RM019,29,29,"1090,1131,1114,1149","1090,1131,1114,1149",1,R21B00014,R21B00014,true
GM019IG0078,GM_RM019,30,30,"1090,1131,1120,1149","1090,1131,1120,1149",1,R21B00018,R21B00018,true
GM019IG0079,GM_RM019,31,31;32,"1090,1135,1114,1147","1090,1135,1114,1147",2,R21B00025;R21B00034,R21B00025,true
GM019IG0080,GM_RM019,32,32,"1090,1135,1192,1249","1090,1135,1192,1249",1,R21B00039,R21B00039,true
GM019IG0081,GM_RM019,40,40,"1090,1171,1114,1183","1090,1171,1114,1183",1,R21B00060,R21B00060,true
GM019IG0082,GM_RM019,28,28,"1096,1203,1150,1233","1096,1203,1150,1233",1,R21B00008,R21B00008,true
GM019IG0083,GM_RM019,29,29,"1096,1203,1156,1245","1096,1203,1156,1245",1,R21B00013,R21B00013,true
GM019IG0084,GM_RM019,30,30,"1096,1203,1162,1245","1096,1203,1162,1245",1,R21B00017,R21B00017,true
GM019IG0085,GM_RM019,27,27,"1096,1209,1144,1233","1096,1209,1144,1233",1,R21B00002,R21B00002,true
GM019IG0086,GM_RM019,250,250,"1099,1135,1201,1261","1099,1135,1201,1261",1,R21B00140,R21B00140,true
