region_id,scene,hypothesis_id,region_role,control_family,sar_frame,azimuth_min,azimuth_max,valid_pixel_count,nonzero_pixel_count,nonzero_ratio,mean_intensity,p95_intensity,p99_intensity,max_intensity,top1pct_mean_intensity,sum_intensity
WGV33C_WGV33B_H001_ADJACENT_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_adjacent_azimuth_control,matched_background_control,44,41,62,301680,298925,0.99086781,50.0175948,65,73,149,80.36791515,15089308
WGV33C_WGV33B_H001_FAR_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_far_azimuth_control,matched_background_control,0,-61,-60,6016,3961,0.6584109,13.17436835,39,53,98,63.01639344,79257
WGV33C_WGV33B_H001_FAR_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_far_azimuth_control,matched_background_control,1,-61,-60,6016,4072,0.6768617,13.63879654,39,53,86,61.09836066,82051
WGV33C_WGV33B_H001_FAR_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_far_azimuth_control,matched_background_control,2,-61,-60,6016,3973,0.66040559,12.22739362,36,43,69,47.32786885,73560
WGV33C_WGV33B_H001_FAR_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_far_azimuth_control,matched_background_control,3,-61,-60,6016,4127,0.68600399,12.57480053,36,41,57,44.47540984,75650
WGV33C_WGV33B_H001_FAR_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_far_azimuth_control,matched_background_control,4,-61,-60,6016,4145,0.68899601,13.00797872,37,43,57,46.31147541,78256
WGV33C_WGV33B_H001_FAR_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_far_azimuth_control,matched_background_control,5,-61,-60,6016,4269,0.70960771,13.45478723,38,44,61,47.83606557,80944
WGV33C_WGV33B_H001_FAR_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_far_azimuth_control,matched_background_control,6,-61,-60,6016,4206,0.69913564,13.67220745,39,45,67,48.01639344,82252
WGV33C_WGV33B_H001_FAR_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_far_azimuth_control,matched_background_control,7,-61,-60,6016,4379,0.72789229,14.5447141,40,46,65,49.27868852,87501
WGV33C_WGV33B_H001_FAR_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_far_azimuth_control,matched_background_control,8,-61,-60,6016,4347,0.72257314,15.24335106,44,50,71,53.21311475,91704
WGV33C_WGV33B_H001_FAR_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_far_azimuth_control,matched_background_control,9,-61,-60,6016,4392,0.73005319,15.06881649,43,48,71,52.21311475,90654
WGV33C_WGV33B_H001_FAR_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_far_azimuth_control,matched_background_control,10,-61,-60,6016,4307,0.7159242,14.59640957,41,47,72,51.09836066,87812
WGV33C_WGV33B_H001_FAR_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_far_azimuth_control,matched_background_control,11,-61,-60,6016,4544,0.75531915,16.96675532,47,54,78,58.09836066,102072
WGV33C_WGV33B_H001_FAR_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_far_azimuth_control,matched_background_control,12,-61,-60,6016,4457,0.74085771,18.43001995,53,59,78,63.67213115,110875
WGV33C_WGV33B_H001_FAR_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_far_azimuth_control,matched_background_control,13,-61,-60,6016,4566,0.75897606,18.48487367,52,60,76,64.42622951,111205
WGV33C_WGV33B_H001_FAR_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_far_azimuth_control,matched_background_control,14,-61,-60,6016,4483,0.74517952,19.07330452,54,67,100,76.18032787,114745
WGV33C_WGV33B_H001_FAR_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_far_azimuth_control,matched_background_control,15,-61,-60,6016,4385,0.72888963,17.19148936,50,62,103,72.2295082,103424
WGV33C_WGV33B_H001_FAR_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_far_azimuth_control,matched_background_control,16,-61,-60,6016,4388,0.7293883,17.47822473,51,64,125,78,105149
WGV33C_WGV33B_H001_FAR_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_far_azimuth_control,matched_background_control,17,-61,-60,6016,4413,0.73354388,16.74251995,47,61,125,78.59016393,100723
WGV33C_WGV33B_H001_FAR_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_far_azimuth_control,matched_background_control,18,-61,-60,6016,4294,0.7137633,16.74584441,48,61,107,73.55737705,100743
WGV33C_WGV33B_H001_FAR_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_far_azimuth_control,matched_background_control,19,-61,-60,6016,4440,0.73803191,18.74268617,53,71,103,79.39344262,112756
WGV33C_WGV33B_H001_FAR_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_far_azimuth_control,matched_background_control,20,-61,-60,6016,4461,0.74152261,19.83793218,57,75,122,86.91803279,119345
WGV33C_WGV33B_H001_FAR_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_far_azimuth_control,matched_background_control,21,-61,-60,6016,4386,0.72905585,21.4978391,62,81,121,90.04918033,129331
WGV33C_WGV33B_H001_FAR_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_far_azimuth_control,matched_background_control,22,-61,-60,6016,4390,0.72972074,22.64411569,66,81,129,93.01639344,136227
WGV33C_WGV33B_H001_FAR_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_far_azimuth_control,matched_background_control,23,-61,-60,6016,4353,0.72357048,21.80319149,64,75,116,83.49180328,131168
WGV33C_WGV33B_H001_FAR_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_far_azimuth_control,matched_background_control,24,-61,-60,6016,4308,0.71609043,19.38464096,55,69,104,77.40983607,116618
WGV33C_WGV33B_H001_FAR_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_far_azimuth_control,matched_background_control,25,-61,-60,6016,4235,0.70395612,17.77160904,51,65,88,74.13114754,106914
WGV33C_WGV33B_H001_FAR_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_far_azimuth_control,matched_background_control,26,-61,-60,6016,4316,0.71742021,18.96542553,55,69,98,77.75409836,114096
WGV33C_WGV33B_H001_FAR_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_far_azimuth_control,matched_background_control,27,-61,-60,6016,4288,0.71276596,18.7997008,54,68,93,75.19672131,113099
WGV33C_WGV33B_H001_FAR_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_far_azimuth_control,matched_background_control,28,-61,-60,6016,4381,0.72822473,20.21193484,59,76,103,86.47540984,121595
WGV33C_WGV33B_H001_FAR_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_far_azimuth_control,matched_background_control,29,-61,-60,6016,4445,0.73886303,21.30103059,61,80,112,92.75409836,128147
WGV33C_WGV33B_H001_FAR_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_far_azimuth_control,matched_background_control,30,-61,-60,6016,4332,0.72007979,21.62765957,62,85,118,96.98360656,130112
