structure_id,physical_vehicle_id,window_id,window_polarity,sar_frame,atom_ids,role_combination,long_axis_extent,short_axis_extent,aspect_ratio,max_pair_distance,max_internal_gap,azimuth_span,radial_span,unit_status,source_anchor_compatibility,cross_positive_window_compatibility,negative_window_conflict,grammar_id,grammar_status,background_conflict,entity_class,gate_explanation_cn
S8A_F270_029,PV_GM19_SILVER_MPV_NEAR_FIELD,silver_270_273,positive,270,A8A_F270_002;A8A_F270_004,body_core;unresolved_atom,62.744352,1,62.744352,62.744352,0,23.837896,16.42305,geometry_coordinate_pixel_radius_not_meter,source_shell_entry_only_no_target,computed_in_report_summary,false,partial_vehicle_response,conditional_candidate,false,vehicle_supported,"结构含 body_core,unresolved_atom，几何尺度和紧凑性通过，短窗口存在相邻帧非跳变支持，且未触发背景弧线冲突。"
S8A_F271_030,PV_GM19_SILVER_MPV_NEAR_FIELD,silver_270_273,positive,271,A8A_F271_001;A8A_F271_002,unresolved_atom,136.094094,1,136.094094,136.094094,0,36.232145,69.402893,geometry_coordinate_pixel_radius_not_meter,source_shell_entry_only_no_target,computed_in_report_summary,false,weak_temporal_response,conditional_candidate,false,vehicle_supported,结构含 unresolved_atom，几何尺度和紧凑性通过，短窗口存在相邻帧非跳变支持，且未触发背景弧线冲突。
S8A_F272_031,PV_GM19_SILVER_MPV_NEAR_FIELD,silver_270_273,positive,272,A8A_F272_001,unresolved_atom,144.966413,126.839433,1.142913,0,0,0,0,geometry_coordinate_pixel_radius_not_meter,source_shell_entry_only_no_target,computed_in_report_summary,false,weak_temporal_response,conditional_candidate,false,unresolved,"结构含 unresolved_atom，G_scale=False, G_compact=True, G_temporal=True，证据不足。"
S8A_F273_032,PV_GM19_SILVER_MPV_NEAR_FIELD,silver_270_273,positive,273,A8A_F273_001;A8A_F273_002,side_ridge;unresolved_atom,55.897489,1,55.897489,55.897489,0,21.375723,4.467896,geometry_coordinate_pixel_radius_not_meter,source_shell_entry_only_no_target,computed_in_report_summary,false,weak_temporal_response,conditional_candidate,false,vehicle_supported,"结构含 side_ridge,unresolved_atom，几何尺度和紧凑性通过，短窗口存在相邻帧非跳变支持，且未触发背景弧线冲突。"
S8A_F276_033,PV_GM19_SILVER_MPV_NEAR_FIELD,silver_276_288,negative_or_uncertain,276,A8A_F276_001;A8A_F276_002,side_ridge;unresolved_atom,128.887961,1,128.887961,128.887961,0,35.919619,54.395905,geometry_coordinate_pixel_radius_not_meter,source_shell_entry_only_no_target,computed_in_report_summary,false,not_testable,not_testable,false,unresolved,"结构含 side_ridge,unresolved_atom，G_scale=True, G_compact=True, G_temporal=False，证据不足。"
S8A_F280_034,PV_GM19_SILVER_MPV_NEAR_FIELD,silver_276_288,negative_or_uncertain,280,A8A_F280_001;A8A_F280_002,unresolved_atom,59.349952,1,59.349952,59.349952,0,2.598421,59.07502,geometry_coordinate_pixel_radius_not_meter,source_shell_entry_only_no_target,computed_in_report_summary,false,not_testable,not_testable,true,background_like,结构含 unresolved_atom，背景弧线冲突，不能升级为车辆支持实体。
S8A_F284_035,PV_GM19_SILVER_MPV_NEAR_FIELD,silver_276_288,negative_or_uncertain,284,A8A_F284_002,body_core,108,48.963688,2.205716,0,0,0,0,geometry_coordinate_pixel_radius_not_meter,source_shell_entry_only_no_target,computed_in_report_summary,false,partial_vehicle_response,not_testable,false,unresolved,"结构含 body_core，G_scale=True, G_compact=True, G_temporal=False，证据不足。"
S8A_F284_036,PV_GM19_SILVER_MPV_NEAR_FIELD,silver_276_288,negative_or_uncertain,284,A8A_F284_001,background_arc,316,87.43353,3.614174,0,0,0,0,geometry_coordinate_pixel_radius_not_meter,source_shell_entry_only_no_target,computed_in_report_summary,false,not_testable,not_testable,true,background_like,结构含 background_arc，背景弧线冲突，不能升级为车辆支持实体。
S8A_F288_037,PV_GM19_SILVER_MPV_NEAR_FIELD,silver_276_288,negative_or_uncertain,288,A8A_F288_003;A8A_F288_004,unresolved_atom,58.683283,1,58.683283,58.683283,0,21.323709,46.994728,geometry_coordinate_pixel_radius_not_meter,source_shell_entry_only_no_target,computed_in_report_summary,false,weak_temporal_response,not_testable,false,unresolved,"结构含 unresolved_atom，G_scale=True, G_compact=True, G_temporal=True，证据不足。"
S8A_F288_038,PV_GM19_SILVER_MPV_NEAR_FIELD,silver_276_288,negative_or_uncertain,288,A8A_F288_001,background_arc,398.590626,77.404108,5.149476,0,0,0,0,geometry_coordinate_pixel_radius_not_meter,source_shell_entry_only_no_target,computed_in_report_summary,false,not_testable,not_testable,true,background_like,结构含 background_arc，背景弧线冲突，不能升级为车辆支持实体。
