scene,canonical_vehicle_id,segment_id,dx_px,dy_px,grid_level,offset_category,frame_count,mean_valid_fraction,mean_clarity,median_clarity,temporal_mad_mean,temporal_mad_median,positive_persistence_mean,positive_persistence_p90,positive_persistence_fraction_ge_0_5,vehicle_scale_horizontal_run_px,background_median_mean,background_mad_mean,fixed_world_mean_clarity,fixed_world_minus_track_mean_clarity,phase_world_residual_median_px,phase_vehicle_residual_median_px,phase_wrong_residual_median_px,phase_response_median,flow_world_residual_median_px,flow_vehicle_residual_median_px,flow_wrong_residual_median_px,flow_support_fraction_median,weighted_score,rank,winner
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,40,0,FINE,BACKGROUND_DOMINATED_REGION,21.0,1.0,31.407453536987305,41.03368377685547,8.482828140258789,8.0,0.07672991071428573,0.2857142857142857,0.040765625,94.0,45.714285714285715,5.190476190476191,31.038677215576172,-0.3687763214111328,0.12581272191573983,4.6467462438885825,4.541900290012411,0.6194029050844687,0.114467960101385,4.770675206175941,4.7126970000482675,0.4049404761904762,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,80,0,FINE,BACKGROUND_DOMINATED_REGION,21.0,1.0,31.989089965820312,41.427207946777344,8.479484558105469,8.0,0.07920089285714285,0.2857142857142857,0.042234375,68.0,45.95238095238095,5.238095238095238,31.43233871459961,-0.5567512512207031,0.10656124694870128,4.706290792567933,4.5156871097200515,0.6595283952024248,0.11995287433927654,4.758816760608053,4.7430847255258985,0.41007440476190476,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,100,0,COARSE,BACKGROUND_DOMINATED_REGION,21.0,1.0,32.300052642822266,41.5626335144043,8.490640640258789,8.0,0.08159523809523808,0.2857142857142857,0.044046875,52.0,46.04761904761905,5.285714285714286,31.552906036376953,-0.7471466064453125,0.10764491395627906,4.700328991557929,4.514570979597702,0.672164584034019,0.11287254427603662,4.76247537840937,4.722542465539452,0.40925595238095236,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,120,0,FINE,BACKGROUND_DOMINATED_REGION,21.0,1.0,32.514347076416016,41.723915100097656,8.474531173706055,8.0,0.08153124999999999,0.2857142857142857,0.0436875,52.0,46.333333333333336,5.285714285714286,31.676162719726562,-0.8381843566894531,0.09722631818450178,4.668457971893242,4.525321551142401,0.6869436365034844,0.11437134396331944,4.76873334065095,4.708501065110207,0.4089732142857143,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,160,0,FINE,BACKGROUND_DOMINATED_REGION,21.0,1.0,31.861434936523438,41.06261444091797,8.267265319824219,8.0,0.08111532738095238,0.2857142857142857,0.042734375,62.0,46.19047619047619,5.142857142857143,31.59554672241211,-0.2658882141113281,0.09983397160630332,4.65402139793227,4.551944339023574,0.6829456861924242,0.10327665261465228,4.755683404784233,4.6822557559344276,0.4134672619047619,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,200,0,COARSE,BACKGROUND_DOMINATED_REGION,21.0,1.0,30.874374389648438,40.15951156616211,7.963500022888184,7.0,0.07186755952380953,0.2857142857142857,0.035390625,34.0,46.19047619047619,5.142857142857143,29.099498748779297,-1.7748756408691406,0.09311780688959548,4.660575012665545,4.5686379408681255,0.6585745212104586,0.09731863045763121,4.738058693123011,4.6742885477384775,0.42162202380952385,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,300,0,COARSE,BACKGROUND_DOMINATED_REGION,21.0,1.0,29.208301544189453,38.85564041137695,7.800624847412109,7.0,0.043759672619047625,0.14285714285714285,0.020625,30.0,46.095238095238095,5.761904761904762,27.19683074951172,-2.0114707946777344,0.14753706658540322,4.680579636494537,4.53201882076612,0.48240502807829116,0.29161991687369837,4.669947387469853,4.776688816402282,0.46566964285714285,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,400,0,COARSE,BACKGROUND_DOMINATED_REGION,21.0,1.0,25.31507682800293,34.2874755859375,7.002421855926514,7.0,0.012826636904761903,0.0,0.004703125,29.0,43.476190476190474,6.857142857142857,25.506067276000977,0.19099044799804688,0.21875202593829396,4.686811145603242,4.569021076894833,0.44972446108305897,0.45044775144035,4.441592690917951,4.9130788697936,0.46313988095238096,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,-160,40,FINE,BACKGROUND_DOMINATED_REGION,21.0,1.0,26.650325775146484,37.21280288696289,7.66335916519165,7.0,0.02828943452380952,0.047619047619047616,0.0163125,44.0,45.38095238095238,5.523809523809524,25.78363800048828,-0.8666877746582031,0.18198351002443072,4.717580720933238,4.602610944182133,0.4196459674586852,0.3718539578294279,4.626836257829318,5.074144410726509,0.4727827380952381,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,-120,40,FINE,BACKGROUND_DOMINATED_REGION,21.0,1.0,27.61412239074707,37.59674835205078,7.913531303405762,7.0,0.038260416666666665,0.09523809523809523,0.023453125,77.0,45.76190476190476,5.428571428571429,27.845401763916016,0.2312793731689453,0.1470940412112312,4.66953711872587,4.562437852734369,0.4470432562408624,0.435152271454015,4.5400288808794915,5.109087309786307,0.4620982142857143,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,-80,40,FINE,BACKGROUND_DOMINATED_REGION,21.0,1.0,28.2618465423584,38.18050765991211,7.9792656898498535,7.0,0.045418154761904764,0.14285714285714285,0.027984375,94.0,45.714285714285715,5.380952380952381,29.527301788330078,1.2654552459716797,0.13310015000333367,4.593398649466016,4.59918279467473,0.47760362685830504,0.5365356577130651,4.452477131406219,5.1590400397482865,0.4597470238095238,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,-40,40,FINE,BACKGROUND_DOMINATED_REGION,21.0,1.0,28.77810287475586,38.671993255615234,8.034984588623047,7.0,0.04790773809523809,0.14285714285714285,0.027890625,52.0,46.142857142857146,5.333333333333333,29.97015380859375,1.1920509338378906,0.10436732282212446,4.56019103308373,4.621032123873839,0.4871348494732821,0.496937705642454,4.42970102706249,5.248490894286633,0.4551934523809524,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,0,40,FINE,BACKGROUND_DOMINATED_REGION,21.0,1.0,29.78901481628418,39.415950775146484,8.183405876159668,7.0,0.05440252976190476,0.19047619047619047,0.028484375,48.0,46.42857142857143,5.666666666666667,30.242000579833984,0.4529857635498047,0.13258837649785532,4.482963724230693,4.7786315439151865,0.500368358305207,0.5168440262933525,4.4812385887379875,5.2228974291301,0.441860119047619,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,40,40,FINE,BACKGROUND_DOMINATED_REGION,21.0,1.0,30.714439392089844,40.38808059692383,8.396953582763672,8.0,0.07055580357142859,0.2857142857142857,0.037171875,52.0,46.095238095238095,5.333333333333333,30.50151252746582,-0.21292686462402344,0.11411539464293227,4.539430463928607,4.722616325848453,0.544044470290343,0.36651195032105727,4.657644033135984,5.018254764109349,0.4292113095238095,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,80,40,FINE,BACKGROUND_DOMINATED_REGION,21.0,1.0,30.843538284301758,40.409366607666016,8.354719161987305,8.0,0.07724776785714284,0.2857142857142857,0.04221875,94.0,45.714285714285715,5.142857142857143,30.785465240478516,-0.05807304382324219,0.11620384630328795,4.600644175784195,4.581714835577367,0.6070682373863678,0.29227167649068886,4.7280103009588235,4.9012068073381965,0.42675595238095243,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,120,40,FINE,BACKGROUND_DOMINATED_REGION,21.0,1.0,31.14075469970703,40.5394287109375,8.341109275817871,8.0,0.07115848214285712,0.2857142857142857,0.038234375,44.0,46.38095238095238,5.428571428571429,30.865137100219727,-0.2756175994873047,0.11334293269672728,4.630371168691942,4.551413616749736,0.6380140956905154,0.282890143354087,4.736290564681919,4.940746322362436,0.43214285714285716,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,160,40,FINE,BACKGROUND_DOMINATED_REGION,21.0,1.0,30.483613967895508,39.88350296020508,8.14078140258789,8.0,0.06659970238095236,0.23809523809523808,0.03428125,48.0,46.42857142857143,5.428571428571429,30.685745239257812,0.2021312713623047,0.12154384886720815,4.682194505299825,4.49866867850786,0.641495199004809,0.2547561344905545,4.768498566759305,4.903906361984429,0.43842261904761903,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,-400,80,COARSE,BACKGROUND_DOMINATED_REGION,21.0,1.0,15.812311172485352,21.627220153808594,3.88462495803833,0.0,0.24280654761904757,0.6190476190476191,0.311078125,261.0,13.857142857142858,8.952380952380953,16.167301177978516,0.35499000549316406,5.98061001127863,6.93983018039717,5.899318812336139,0.240069627099567,6.259400952802033,7.172534983796024,5.9429308938295575,0.7619047619047619,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,-300,80,COARSE,BACKGROUND_DOMINATED_REGION,21.0,1.0,20.40533447265625,29.155336380004883,5.6267499923706055,6.0,0.00018898809523809523,0.0,0.0,0.0,38.666666666666664,11.19047619047619,21.02546501159668,0.6201305389404297,0.15386568076951446,4.891030595204139,4.853011456077511,0.42116466363271077,0.5867245106457348,5.039614940453422,5.186070067435262,0.41299107142857144,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED
